delivery_id,order_id,dispatch_date,promised_date,delivered_date,carrier,service_level,delivery_status,delay_days,on_time_in_full,fulfilment_hours,delivery_cost,delay_reason,promised_days,tracking_event_count,delivery_window,shipping_distance_km,signature_required,estimated_carbon_kg
HDEL000016,HORD000016,2018-08-29,2018-09-05,2018-09-08,StarTrack,Standard,Delivered,3.0,False,16.0,10.66,warehouse_congestion,7.0,8.0,Anytime,1.8801,True,1.002
HDEL000017,HORD000017,2018-01-28,2018-01-31,2018-01-30,Direct Freight,Standard,Delivered,0.0,True,73.0,8.82,none,3.0,6.0,Anytime,3.94,True,0.525
HDEL000018,HORD000018,2018-11-08,2018-11-15,2018-11-15,StarTrack,Standard,Delivered,0.0,True,36.0,10.13,none,7.0,8.0,Anytime,6.4246,False,0.515
HDEL000019,HORD000019,2018-04-14,2018-04-18,2018-04-17,StarTrack,Standard,Delivered,0.0,True,41.0,11.0,none,4.0,9.0,Morning,7.1589,False,0.479
HDEL000020,HORD000020,2018-07-30,2018-08-02,2018-08-01,DHL,Standard,Delivered,0.0,True,12.0,10.87,none,3.0,7.0,Anytime,5.9648,True,0.465
HDEL000021,HORD000021,2018-08-28,2018-09-01,2018-09-01,StarTrack,Standard,Delivered,0.0,True,2.0,10.17,none,4.0,3.0,Morning,4.6779,True,0.484
HDEL000022,HORD000022,2018-03-20,2018-03-24,2018-03-22,StarTrack,Standard,Delivered,0.0,True,11.0,7.33,none,4.0,6.0,Anytime,3.025,True,1.095
HDEL000023,HORD000023,2018-09-25,2018-09-29,2018-09-27,StarTrack,Standard,Delivered,0.0,True,38.0,10.63,none,4.0,4.0,Anytime,6.9656,True,0.504
HDEL000024,HORD000024,2018-11-23,2018-11-28,2018-11-28,StarTrack,Express,Delivered,0.0,True,23.0,16.16,none,5.0,8.0,Morning,7.38,True,0.558
HDEL000025,HORD000025,2018-10-28,2018-11-01,2018-11-01,DHL,Standard,Delivered,0.0,True,2.0,6.73,none,4.0,9.0,Anytime,1.5951,True,0.276
HDEL000026,HORD000026,2018-04-03,2018-04-09,2018-04-09,StarTrack,Express,Delivered,0.0,True,2.0,18.3,none,6.0,9.0,Morning,3.89,True,1.046
HDEL000027,HORD000027,2018-12-21,2018-12-27,2018-12-25,StarTrack,Express,Delivered,0.0,True,73.0,18.74,none,6.0,7.0,Afternoon,5.8366,False,0.377
HDEL000028,HORD000028,2018-12-25,2019-01-01,2019-01-03,Direct Freight,Standard,Delivered,2.0,False,36.0,12.27,weather,7.0,8.0,Morning,9.4002,True,1.974
HDEL000029,HORD000029,2018-07-26,2018-07-31,2018-07-31,Direct Freight,Standard,Delivered,0.0,True,39.0,9.59,none,5.0,4.0,Afternoon,2.9003,True,0.423
HDEL000030,HORD000030,2018-12-27,2018-12-31,2018-12-31,DHL,Standard,Delivered,0.0,True,6.0,10.38,none,4.0,4.0,Morning,7.5212,True,0.465
HDEL000031,HORD000031,2018-10-13,2018-10-18,2018-10-18,AusPost,Standard,Delivered,0.0,True,29.0,8.58,none,5.0,8.0,Morning,4.8491,True,1.114
HDEL000032,HORD000032,2018-09-22,2018-09-29,2018-09-28,DHL,Express,Delivered,0.0,True,45.0,13.75,none,7.0,7.0,Morning,3.6405,True,0.395
HDEL000033,HORD000033,2018-05-23,2018-05-26,2018-05-24,StarTrack,Standard,Delivered,0.0,True,71.0,10.43,none,3.0,6.0,Anytime,5.9827,True,0.44
HDEL000034,HORD000034,2018-01-18,2018-01-22,2018-01-22,AusPost,Standard,Delivered,0.0,True,69.0,8.24,none,4.0,5.0,Anytime,4.6204,True,0.393
HDEL000035,HORD000035,2018-01-10,2018-01-13,2018-01-13,AusPost,Standard,Delivered,0.0,True,71.0,10.6,none,3.0,6.0,Afternoon,7.1859,True,1.085
HDEL000036,HORD000036,2018-03-25,2018-03-30,2018-03-29,DHL,Standard,Delivered,0.0,True,64.0,7.02,none,5.0,8.0,Anytime,1.2497,True,1.172
HDEL000037,HORD000037,2018-11-28,2018-12-01,2018-11-30,StarTrack,Standard,Delivered,0.0,True,38.0,11.12,none,3.0,3.0,Anytime,8.0821,True,0.517
HDEL000038,HORD000038,2018-01-15,2018-01-19,2018-01-17,StarTrack,Standard,Delivered,0.0,True,30.0,8.65,none,4.0,3.0,Afternoon,6.9271,False,0.435
HDEL000039,HORD000039,2018-07-13,2018-07-16,2018-07-14,AusPost,Express,Delivered,0.0,True,66.0,19.97,none,3.0,5.0,Afternoon,7.4162,True,0.525
HDEL000040,HORD000040,2018-01-18,2018-01-21,2018-01-23,Direct Freight,Standard,Delivered,2.0,False,14.0,9.68,weather,3.0,4.0,Afternoon,3.7951,True,0.963
HDEL000041,HORD000041,2018-04-27,2018-04-30,2018-04-29,StarTrack,Standard,Delivered,0.0,True,40.0,6.75,none,3.0,7.0,Morning,3.5444,True,0.419
HDEL000042,HORD000042,2018-08-31,2018-09-04,2018-09-08,AusPost,Standard,Delivered,4.0,False,63.0,11.53,carrier_capacity,4.0,4.0,Morning,6.5741,True,0.374
HDEL000043,HORD000043,2018-02-10,2018-02-14,2018-02-13,Direct Freight,Standard,Delivered,0.0,True,69.0,9.37,none,4.0,9.0,Afternoon,8.3195,False,1.11
HDEL000044,HORD000044,2018-04-26,2018-04-30,2018-04-30,AusPost,Express,Delivered,0.0,True,41.0,20.49,none,4.0,9.0,Morning,6.063,True,0.48
HDEL000045,HORD000045,2018-01-16,2018-01-21,2018-01-21,AusPost,Standard,Delivered,0.0,True,64.0,11.31,none,5.0,9.0,Afternoon,7.7528,False,0.392
HDEL000046,HORD000046,2018-01-02,2018-01-09,2018-01-09,AusPost,Standard,Delivered,0.0,True,17.0,9.87,none,7.0,8.0,Morning,7.0202,True,0.661
HDEL000047,HORD000047,2018-04-04,2018-04-10,2018-04-14,DHL,Express,Delivered,4.0,False,69.0,17.33,warehouse_congestion,6.0,4.0,Afternoon,5.1975,True,0.86
HDEL000048,HORD000048,2018-07-02,2018-07-09,2018-07-08,Direct Freight,Standard,Delivered,0.0,True,33.0,12.37,none,7.0,4.0,Afternoon,5.5854,True,0.411
HDEL000049,HORD000049,2018-03-04,2018-03-07,2018-03-06,StarTrack,Standard,Delivered,0.0,True,7.0,6.88,none,3.0,9.0,Anytime,3.15,False,0.316
HDEL000050,HORD000050,2018-01-31,2018-02-07,2018-02-09,AusPost,Express,Delivered,2.0,False,64.0,16.26,weather,7.0,5.0,Afternoon,7.2366,True,0.507
HDEL000051,HORD000051,2018-12-13,2018-12-17,2018-12-15,StarTrack,Standard,Delivered,0.0,True,6.0,9.71,none,4.0,4.0,Anytime,8.7076,False,0.455
HDEL000052,HORD000052,2018-05-22,2018-05-28,2018-05-28,Direct Freight,Standard,Delivered,0.0,True,9.0,8.36,none,6.0,8.0,Afternoon,6.3782,True,0.575
HDEL000053,HORD000053,2018-05-01,2018-05-07,2018-05-05,StarTrack,Express,Delivered,0.0,True,26.0,21.56,none,6.0,8.0,Afternoon,7.6692,False,0.431
HDEL000054,HORD000054,2018-07-15,2018-07-20,2018-07-18,DHL,Standard,Delivered,0.0,True,51.0,7.82,none,5.0,6.0,Afternoon,0.5576,True,0.39
HDEL000055,HORD000055,2018-02-24,2018-03-03,2018-03-03,AusPost,Standard,Delivered,0.0,True,26.0,10.15,none,7.0,3.0,Afternoon,5.7284,False,0.484
HDEL000056,HORD000056,2018-03-01,2018-03-04,2018-03-04,StarTrack,Standard,Delivered,0.0,True,10.0,10.12,none,3.0,3.0,Anytime,5.1204,False,0.345
HDEL000057,HORD000057,2018-05-26,2018-05-31,2018-05-30,Direct Freight,Standard,Delivered,0.0,True,30.0,9.04,none,5.0,4.0,Afternoon,7.1589,True,1.205
HDEL000058,HORD000058,2018-11-29,2018-12-02,2018-12-01,Direct Freight,Standard,Delivered,0.0,True,26.0,8.08,none,3.0,3.0,Anytime,2.8326,True,1.075
HDEL000059,HORD000059,2018-10-10,2018-10-14,2018-10-14,StarTrack,Standard,Delivered,0.0,True,21.0,10.74,none,4.0,4.0,Anytime,6.1573,True,0.443
HDEL000060,HORD000060,2018-09-22,2018-09-25,2018-09-24,AusPost,Standard,Delivered,0.0,True,14.0,8.65,none,3.0,9.0,Morning,3.0066,True,0.481
HDEL000061,HORD000061,2018-02-19,2018-02-22,2018-02-22,AusPost,Standard,Delivered,0.0,True,12.0,9.45,none,3.0,7.0,Morning,7.6027,False,0.418
HDEL000062,HORD000062,2018-12-03,2018-12-09,2018-12-08,AusPost,Standard,Delivered,0.0,True,51.0,11.66,none,6.0,8.0,Afternoon,6.9271,False,0.463
HDEL000063,HORD000063,2018-05-02,2018-05-09,2018-05-08,StarTrack,Standard,Delivered,0.0,True,35.0,7.73,none,7.0,4.0,Morning,5.8441,True,0.77
HDEL000064,HORD000064,2018-06-19,2018-06-26,2018-06-26,Direct Freight,Standard,Delivered,0.0,True,22.0,10.74,none,7.0,8.0,Anytime,4.2688,True,0.38
HDEL000065,HORD000065,2018-03-17,2018-03-22,2018-03-20,StarTrack,Standard,Delivered,0.0,True,49.0,8.37,none,5.0,8.0,Morning,6.16,False,0.414
HDEL000066,HORD000066,2018-06-29,2018-07-05,2018-07-03,DHL,Standard,Delivered,0.0,True,37.0,9.76,none,6.0,4.0,Afternoon,4.6678,True,1.041
HDEL000067,HORD000067,2018-11-10,2018-11-13,2018-11-12,StarTrack,Standard,Delivered,0.0,True,5.0,8.14,none,3.0,7.0,Morning,2.5674,True,0.89
HDEL000068,HORD000068,2018-05-11,2018-05-15,2018-05-14,Direct Freight,Standard,Delivered,0.0,True,63.0,9.42,none,4.0,9.0,Afternoon,7.7913,True,0.548
HDEL000069,HORD000069,2018-01-17,2018-01-21,2018-01-21,DHL,Standard,Delivered,0.0,True,30.0,8.78,none,4.0,9.0,Anytime,4.2942,True,0.432
HDEL000070,HORD000070,2018-06-02,2018-06-09,2018-06-07,AusPost,Standard,Delivered,0.0,True,56.0,8.4,none,7.0,3.0,Afternoon,3.7951,True,0.339
HDEL000071,HORD000071,2018-08-24,2018-08-31,2018-08-29,StarTrack,Express,Delivered,0.0,True,68.0,20.98,none,7.0,9.0,Afternoon,0.6581,False,0.315
HDEL000072,HORD000072,2018-02-24,2018-03-01,2018-02-27,AusPost,Standard,Delivered,0.0,True,48.0,8.3,none,5.0,9.0,Afternoon,3.0513,True,0.444
HDEL000073,HORD000073,2018-03-01,2018-03-08,2018-03-08,StarTrack,Standard,Delivered,0.0,True,45.0,10.95,none,7.0,7.0,Morning,6.5391,False,0.378
HDEL000074,HORD000074,2018-02-19,2018-02-24,2018-02-23,AusPost,Standard,Delivered,0.0,True,53.0,9.13,none,5.0,3.0,Anytime,3.5444,True,1.203
HDEL000075,HORD000075,2018-10-18,2018-10-24,2018-10-22,Direct Freight,Standard,Delivered,0.0,True,3.0,7.65,none,6.0,9.0,Morning,5.4787,False,0.41
HDEL000076,HORD000076,2018-09-28,2018-10-02,2018-10-03,AusPost,Standard,Delivered,1.0,False,33.0,11.7,carrier_capacity,4.0,8.0,Morning,7.4162,True,0.951
HDEL000077,HORD000077,2018-10-23,2018-10-30,2018-10-29,StarTrack,Standard,Delivered,0.0,True,4.0,10.42,none,7.0,5.0,Anytime,8.9878,True,2.541
HDEL000078,HORD000078,2018-08-16,2018-08-21,2018-08-21,DHL,Express,Delivered,0.0,True,45.0,21.78,none,5.0,7.0,Morning,3.0744,False,0.32
HDEL000079,HORD000079,2018-09-25,2018-10-01,2018-10-03,AusPost,Express,Delivered,2.0,False,27.0,19.71,weather,6.0,9.0,Anytime,5.3354,True,0.475
HDEL000080,HORD000080,2018-05-13,2018-05-20,2018-05-19,DHL,Standard,Delivered,0.0,True,24.0,6.93,none,7.0,8.0,Anytime,1.5741,False,0.25
HDEL000081,HORD000081,2018-04-09,2018-04-15,2018-04-13,DHL,Standard,Delivered,0.0,True,38.0,6.83,none,6.0,5.0,Anytime,1.1841,True,0.461
HDEL000082,HORD000082,2018-10-24,2018-10-27,2018-10-25,DHL,Express,Delivered,0.0,True,70.0,15.25,none,3.0,5.0,Afternoon,7.353,True,1.223
HDEL000083,HORD000083,2018-04-19,2018-04-23,2018-04-25,Direct Freight,Express,Delivered,2.0,False,67.0,18.5,carrier_capacity,4.0,8.0,Afternoon,4.895,True,0.441
HDEL000084,HORD000084,2018-07-12,2018-07-16,2018-07-15,DHL,Express,Delivered,0.0,True,8.0,20.65,none,4.0,8.0,Afternoon,8.5452,True,0.737
HDEL000085,HORD000085,2018-10-05,2018-10-09,2018-10-07,DHL,Standard,Delivered,0.0,True,63.0,7.82,none,4.0,3.0,Morning,2.7425,True,1.163
HDEL000086,HORD000086,2018-01-08,2018-01-15,2018-01-15,DHL,Express,Delivered,0.0,True,8.0,17.98,none,7.0,5.0,Anytime,3.7986,True,0.455
HDEL000087,HORD000087,2018-07-20,2018-07-24,2018-07-22,AusPost,Standard,Delivered,0.0,True,31.0,8.48,none,4.0,8.0,Anytime,3.1885,True,0.322
HDEL000088,HORD000088,2018-04-17,2018-04-23,2018-04-23,DHL,Standard,Delivered,0.0,True,25.0,9.96,none,6.0,7.0,Morning,5.1067,True,0.432
HDEL000089,HORD000089,2018-10-05,2018-10-10,2018-10-10,StarTrack,Express,Delivered,0.0,True,41.0,15.74,none,5.0,3.0,Morning,7.1142,True,0.426
HDEL000090,HORD000090,2018-05-19,2018-05-25,2018-05-24,Direct Freight,Standard,Delivered,0.0,True,65.0,9.15,none,6.0,5.0,Morning,7.3738,False,0.465
HDEL000091,HORD000091,2018-11-07,2018-11-12,2018-11-10,Direct Freight,Standard,Delivered,0.0,True,32.0,10.24,none,5.0,5.0,Afternoon,5.0456,False,0.362
HDEL000092,HORD000092,2018-12-22,2018-12-25,2018-12-23,DHL,Standard,Delivered,0.0,True,5.0,9.21,none,3.0,8.0,Morning,6.5607,True,0.407
HDEL000093,HORD000093,2018-02-25,2018-03-03,2018-03-01,DHL,Express,Delivered,0.0,True,47.0,16.92,none,6.0,8.0,Morning,6.6869,False,0.412
HDEL000094,HORD000094,2018-06-04,2018-06-11,2018-06-10,StarTrack,Standard,Delivered,0.0,True,33.0,14.82,none,7.0,9.0,Afternoon,7.2156,False,0.455
HDEL000095,HORD000095,2018-09-19,2018-09-22,2018-09-22,StarTrack,Standard,Delivered,0.0,True,30.0,9.37,none,3.0,4.0,Morning,5.4309,True,0.467
HDEL000096,HORD000096,2018-07-28,2018-07-31,2018-07-31,StarTrack,Standard,Delivered,0.0,True,51.0,10.45,none,3.0,6.0,Afternoon,5.4847,True,0.341
HDEL000097,HORD000097,2018-06-16,2018-06-20,2018-06-18,DHL,Standard,Delivered,0.0,True,35.0,12.25,none,4.0,5.0,Anytime,5.5612,True,0.441
HDEL000098,HORD000098,2018-12-11,2018-12-17,2018-12-15,AusPost,Standard,Delivered,0.0,True,69.0,11.08,none,6.0,4.0,Anytime,7.7913,True,0.584
HDEL000099,HORD000099,2018-11-21,2018-11-28,2018-11-26,AusPost,Express,Delivered,0.0,True,47.0,18.32,none,7.0,6.0,Morning,3.0748,True,0.487
HDEL000100,HORD000100,2018-11-05,2018-11-12,2018-11-11,AusPost,Standard,Delivered,0.0,True,15.0,7.57,none,7.0,3.0,Afternoon,4.3804,True,0.469
HDEL000101,HORD000101,2018-12-15,2018-12-19,2018-12-18,DHL,Standard,Delivered,0.0,True,9.0,6.97,none,4.0,3.0,Anytime,1.6639,False,0.451
HDEL000102,HORD000102,2018-10-13,2018-10-19,2018-10-17,Direct Freight,Standard,Delivered,0.0,True,10.0,7.68,none,6.0,6.0,Morning,5.2041,True,0.438
HDEL000103,HORD000103,2018-06-30,2018-07-03,2018-07-02,AusPost,Standard,Delivered,0.0,True,45.0,10.38,none,3.0,6.0,Morning,3.0744,True,0.386
HDEL000104,HORD000104,2018-09-26,2018-10-01,2018-09-30,StarTrack,Standard,Delivered,0.0,True,2.0,10.37,none,5.0,3.0,Morning,5.1841,False,0.479
HDEL000105,HORD000105,2018-04-12,2018-04-18,2018-04-18,AusPost,Standard,Delivered,0.0,True,11.0,10.3,none,6.0,7.0,Anytime,6.9753,False,0.456
HDEL000106,HORD000106,2018-02-11,2018-02-14,2018-02-17,DHL,Standard,Delivered,3.0,False,22.0,9.99,warehouse_congestion,3.0,6.0,Morning,6.9271,True,0.484
HDEL000107,HORD000107,2018-12-03,2018-12-08,2018-12-10,DHL,Standard,Delivered,2.0,False,73.0,10.61,warehouse_congestion,5.0,9.0,Afternoon,6.4289,True,1.101
HDEL000108,HORD000108,2018-12-15,2018-12-19,2018-12-17,Direct Freight,Standard,Delivered,0.0,True,55.0,7.83,none,4.0,4.0,Morning,3.9471,True,0.591
HDEL000109,HORD000109,2018-07-28,2018-08-02,2018-08-06,DHL,Standard,Delivered,4.0,False,47.0,14.03,warehouse_congestion,5.0,3.0,Morning,7.6027,True,0.423
HDEL000110,HORD000110,2018-06-14,2018-06-21,2018-06-19,Direct Freight,Standard,Delivered,0.0,True,13.0,11.83,none,7.0,6.0,Afternoon,7.7381,True,1.545
HDEL000111,HORD000111,2018-02-16,2018-02-19,2018-02-17,DHL,Express,Delivered,0.0,True,63.0,13.75,none,3.0,8.0,Afternoon,0.7001,True,0.758
HDEL000112,HORD000112,2018-02-15,2018-02-20,2018-02-20,Direct Freight,Express,Delivered,0.0,True,54.0,15.73,none,5.0,7.0,Morning,5.3006,True,0.937
HDEL000113,HORD000113,2018-06-29,2018-07-03,2018-07-02,Direct Freight,Standard,Delivered,0.0,True,32.0,13.47,none,4.0,9.0,Morning,5.6897,True,1.222
HDEL000114,HORD000114,2018-03-22,2018-03-27,2018-03-27,Direct Freight,Standard,Delivered,0.0,True,68.0,9.0,none,5.0,5.0,Morning,3.94,False,0.343
HDEL000115,HORD000115,2018-05-08,2018-05-11,2018-05-11,DHL,Standard,Delivered,0.0,True,63.0,5.88,none,3.0,6.0,Afternoon,2.1289,True,0.378
HDEL000116,HORD000116,2018-08-06,2018-08-12,2018-08-12,Direct Freight,Standard,Delivered,0.0,True,29.0,9.77,none,6.0,8.0,Morning,5.6649,False,0.369
HDEL000117,HORD000117,2018-10-27,2018-11-01,2018-11-01,DHL,Standard,Delivered,0.0,True,33.0,11.57,none,5.0,8.0,Morning,7.0974,True,1.093
HDEL000118,HORD000118,2018-07-23,2018-07-28,2018-07-30,AusPost,Express,Delivered,2.0,False,16.0,20.01,warehouse_congestion,5.0,5.0,Afternoon,6.5391,False,0.427
HDEL000119,HORD000119,2018-08-08,2018-08-15,2018-08-13,DHL,Standard,Delivered,0.0,True,16.0,11.11,none,7.0,6.0,Morning,5.0262,True,1.121
HDEL000120,HORD000120,2018-11-16,2018-11-20,2018-11-25,DHL,Standard,Delivered,5.0,False,27.0,9.99,warehouse_congestion,4.0,4.0,Anytime,5.2041,False,0.361
HDEL000121,HORD000121,2018-07-17,2018-07-21,2018-07-19,StarTrack,Standard,Delivered,0.0,True,55.0,10.24,none,4.0,9.0,Anytime,2.3445,True,0.493
HDEL000122,HORD000122,2018-10-14,2018-10-21,2018-10-19,DHL,Standard,Delivered,0.0,True,18.0,7.8,none,7.0,8.0,Morning,2.6944,True,0.29
HDEL000123,HORD000123,2018-12-08,2018-12-11,2018-12-10,DHL,Standard,Delivered,0.0,True,66.0,11.0,none,3.0,4.0,Morning,8.8092,True,0.844
HDEL000124,HORD000124,2018-09-13,2018-09-20,2018-09-18,Direct Freight,Standard,Delivered,0.0,True,64.0,11.59,none,7.0,9.0,Morning,7.7275,True,0.537
HDEL000125,HORD000125,2018-08-11,2018-08-14,2018-08-12,StarTrack,Standard,Delivered,0.0,True,44.0,11.67,none,3.0,6.0,Afternoon,8.5082,True,1.049
HDEL000126,HORD000126,2018-02-18,2018-02-25,2018-02-27,StarTrack,Standard,Delivered,2.0,False,25.0,10.08,warehouse_congestion,7.0,8.0,Anytime,4.3025,True,1.227
HDEL000127,HORD000127,2018-03-15,2018-03-19,2018-03-17,StarTrack,Standard,Delivered,0.0,True,2.0,10.53,none,4.0,5.0,Afternoon,8.8778,True,0.602
HDEL000128,HORD000128,2018-11-20,2018-11-24,2018-11-24,DHL,Standard,Delivered,0.0,True,38.0,11.09,none,4.0,8.0,Afternoon,6.4246,False,0.414
HDEL000129,HORD000129,2018-12-01,2018-12-04,2018-12-03,Direct Freight,Standard,Delivered,0.0,True,53.0,7.34,none,3.0,9.0,Morning,1.2126,True,0.803
HDEL000130,HORD000130,2018-03-19,2018-03-26,2018-03-25,StarTrack,Express,Delivered,0.0,True,42.0,16.15,none,7.0,9.0,Afternoon,5.6897,True,0.43
HDEL000131,HORD000131,2018-10-20,2018-10-24,2018-10-27,AusPost,Standard,Delivered,3.0,False,16.0,6.14,weather,4.0,6.0,Morning,0.919,True,0.363
HDEL000132,HORD000132,2018-01-26,2018-01-31,2018-01-31,AusPost,Standard,Delivered,0.0,True,69.0,7.96,none,5.0,7.0,Anytime,2.8334,False,0.406
HDEL000133,HORD000133,2018-07-04,2018-07-11,2018-07-13,StarTrack,Express,Delivered,2.0,False,20.0,17.66,weather,7.0,9.0,Anytime,3.9719,False,0.366
HDEL000134,HORD000134,2018-09-11,2018-09-16,2018-09-16,AusPost,Standard,Delivered,0.0,True,13.0,9.95,none,5.0,8.0,Anytime,9.0951,True,1.139
HDEL000135,HORD000135,2018-03-29,2018-04-04,2018-04-03,StarTrack,Standard,Delivered,0.0,True,49.0,5.75,none,6.0,3.0,Morning,0.361,True,0.413
HDEL000136,HORD000136,2018-03-09,2018-03-14,2018-03-14,DHL,Standard,Delivered,0.0,True,24.0,6.81,none,5.0,4.0,Afternoon,0.6613,True,0.339
HDEL000137,HORD000137,2018-03-05,2018-03-12,2018-03-10,DHL,Standard,Delivered,0.0,True,67.0,8.37,none,7.0,9.0,Anytime,5.576,True,0.614
HDEL000138,HORD000138,2018-04-17,2018-04-20,2018-04-18,StarTrack,Standard,Delivered,0.0,True,72.0,6.03,none,3.0,5.0,Morning,1.4115,True,1.06
HDEL000139,HORD000139,2018-06-13,2018-06-20,2018-06-18,AusPost,Express,Delivered,0.0,True,58.0,23.96,none,7.0,4.0,Morning,6.4552,True,0.594
HDEL000140,HORD000140,2018-02-19,2018-02-23,2018-02-21,AusPost,Express,Delivered,0.0,True,48.0,19.52,none,4.0,7.0,Anytime,6.0658,True,0.575
HDEL000141,HORD000141,2018-06-20,2018-06-23,2018-06-24,DHL,Standard,Delivered,1.0,False,72.0,12.16,weather,3.0,9.0,Afternoon,3.9883,True,0.345
HDEL000142,HORD000142,2018-05-24,2018-05-28,2018-05-26,DHL,Standard,Delivered,0.0,True,10.0,8.11,none,4.0,5.0,Morning,5.6902,True,0.373
HDEL000143,HORD000143,2018-05-29,2018-06-05,2018-06-05,StarTrack,Standard,Delivered,0.0,True,72.0,9.52,none,7.0,9.0,Afternoon,4.7549,True,0.938
HDEL000144,HORD000144,2018-06-11,2018-06-14,2018-06-14,StarTrack,Express,Delivered,0.0,True,62.0,20.95,none,3.0,7.0,Anytime,5.6649,False,0.4
HDEL000145,HORD000145,2018-07-07,2018-07-13,2018-07-12,DHL,Standard,Delivered,0.0,True,10.0,12.3,none,6.0,6.0,Morning,5.3006,True,0.439
HDEL000146,HORD000146,2018-12-30,2019-01-02,2019-01-01,AusPost,Standard,Delivered,0.0,True,18.0,8.2,none,3.0,9.0,Morning,5.6803,False,0.823
HDEL000147,HORD000147,2018-08-29,2018-09-03,2018-09-01,AusPost,Express,Delivered,0.0,True,53.0,22.08,none,5.0,9.0,Afternoon,5.1204,False,0.369
HDEL000148,HORD000148,2018-01-20,2018-01-23,2018-01-23,DHL,Standard,Delivered,0.0,True,64.0,7.85,none,3.0,5.0,Morning,5.2041,True,0.409
HDEL000149,HORD000149,2018-11-03,2018-11-08,2018-11-06,AusPost,Standard,Delivered,0.0,True,40.0,8.65,none,5.0,5.0,Afternoon,4.0721,True,0.357
HDEL000150,HORD000150,2018-10-07,2018-10-13,2018-10-11,AusPost,Standard,Delivered,0.0,True,10.0,7.21,none,6.0,8.0,Anytime,3.083,True,0.369
HDEL000151,HORD000151,2018-10-26,2018-10-31,2018-10-31,AusPost,Standard,Delivered,0.0,True,26.0,8.35,none,5.0,9.0,Afternoon,4.3706,True,0.841
HDEL000152,HORD000152,2018-11-15,2018-11-22,2018-11-22,AusPost,Standard,Delivered,0.0,True,10.0,9.86,none,7.0,8.0,Anytime,6.2558,True,0.532
HDEL000153,HORD000153,2018-01-13,2018-01-19,2018-01-18,Direct Freight,Standard,Delivered,0.0,True,9.0,7.52,none,6.0,3.0,Morning,2.4826,False,0.329
HDEL000154,HORD000154,2018-08-27,2018-08-30,2018-09-01,StarTrack,Standard,Delivered,2.0,False,66.0,11.03,warehouse_congestion,3.0,9.0,Anytime,5.4408,False,0.393
HDEL000155,HORD000155,2018-02-20,2018-02-23,2018-02-21,StarTrack,Standard,Delivered,0.0,True,19.0,8.87,none,3.0,8.0,Anytime,6.1296,False,0.428
