product_id,product_name,category,brand,unit_price,unit_cost,launch_year,warranty_months,weight_kg,product_sku,subcategory,model_family,colour,supplier_id,supplier_country,launch_date,tax_category,package_type,recyclable_packaging,active_flag
PRD0014,Vela Ridge 113,Home Entertainment,Vela,2953.53,1907.4,2016.0,24.0,10.05,SKU-VEL00014,Smart Display,Ridge,Green,SUP014,Japan,2016-04-06,GST_STANDARD,Protective case,True,True
PRD0015,Candle Arc 114,Audio,Candle,184.83,119.12,2016.0,12.0,0.45,SKU-CAN00015,Wireless Audio,Shift,Gold,SUP015,Australia,2016-08-14,GST_STANDARD,Protective case,True,True
PRD0016,Vela Echo 115,Smart Home,Vela,348.79,198.64,2012.0,12.0,0.366,SKU-VEL00016,Home Automation,Spark,Gold,SUP016,Malaysia,2012-10-12,GST_STANDARD,Protective case,True,True
PRD0017,Candle Orbit 116,Gaming,Candle,1860.35,1246.72,2013.0,24.0,1.293,SKU-CAN00017,Gaming Hardware,Vista,White,SUP017,Vietnam,2013-03-24,GST_STANDARD,Recycled box,True,True
PRD0018,Vela Spark 117,Wearable,Vela,112.62,54.52,2016.0,12.0,0.094,SKU-VEL00018,Health Wearable,Wave,Black,SUP018,Japan,2016-10-03,GST_STANDARD,Recycled box,True,True
PRD0019,Candle Bloom 118,Networking,Candle,741.78,466.12,2015.0,24.0,0.721,SKU-CAN00019,Connected Network,Arc,Gold,SUP019,Japan,2015-11-26,GST_STANDARD,Box,True,True
PRD0020,Vela Halo 119,Accessory,Vela,153.47,78.77,2013.0,12.0,0.234,SKU-VEL00020,Mobile Accessory,Atlas,Black,SUP020,Malaysia,2013-07-11,GST_STANDARD,Box,True,True
PRD0021,Candle Quest 120,Laptop,Candle,2242.17,1084.58,2013.0,24.0,1.305,SKU-CAN00021,Ultrabook,Bloom,Black,SUP021,Japan,2013-02-01,GST_STANDARD,Box,True,True
PRD0022,Vela Wave 121,Smartphone,Vela,1200.0,755.68,2016.0,24.0,0.295,SKU-VEL00022,5G Smartphone,Core,Gold,SUP022,China,2016-06-11,GST_STANDARD,Box,True,True
PRD0023,Candle Edge 122,Tablet,Candle,965.26,690.29,2014.0,24.0,0.834,SKU-CAN00023,Productivity Tablet,Edge,Silver,SUP023,Japan,2014-05-24,GST_STANDARD,Recycled box,True,True
PRD0024,Vela Nova 123,Home Entertainment,Vela,1506.88,1010.4,2013.0,24.0,8.83,SKU-VEL00024,Smart Display,Echo,Black,SUP024,Japan,2013-11-27,GST_STANDARD,Box,False,True
PRD0025,Candle Shift 124,Audio,Candle,403.1,304.82,2017.0,12.0,0.553,SKU-CAN00025,Wireless Audio,Flux,Blue,SUP025,Malaysia,2017-01-01,GST_STANDARD,Recycled box,False,True
PRD0026,Vela Atlas 125,Smart Home,Vela,304.81,200.59,2013.0,12.0,0.465,SKU-VEL00026,Home Automation,Halo,Silver,SUP026,Australia,2013-06-18,GST_STANDARD,Protective case,False,True
PRD0027,Candle Flux 126,Gaming,Candle,1635.42,1033.54,2013.0,24.0,1.632,SKU-CAN00027,Gaming Hardware,Lumen,Gold,SUP027,Korea,2013-11-26,GST_STANDARD,Box,True,True
PRD0028,Vela Pulse 127,Wearable,Vela,364.14,194.06,2014.0,12.0,0.127,SKU-VEL00028,Health Wearable,Nova,Black,SUP028,Korea,2014-05-18,GST_STANDARD,Protective case,True,True
PRD0029,Candle Vista 128,Networking,Candle,1109.68,700.08,2012.0,24.0,0.825,SKU-CAN00029,Connected Network,Orbit,Blue,SUP029,Vietnam,2012-04-01,GST_STANDARD,Recycled box,False,True
PRD0030,Vela Core 129,Accessory,Vela,159.51,89.01,2015.0,12.0,0.225,SKU-VEL00030,Mobile Accessory,Pulse,Black,SUP030,Vietnam,2015-05-03,GST_STANDARD,Box,False,True
PRD0031,Candle Lumen 130,Laptop,Candle,2166.94,1623.78,2013.0,24.0,1.886,SKU-CAN00031,Ultrabook,Quest,Graphite,SUP031,Vietnam,2013-04-20,GST_STANDARD,Protective case,True,True
PRD0032,Vela Ridge 131,Smartphone,Vela,417.41,302.45,2014.0,24.0,0.253,SKU-VEL00032,5G Smartphone,Ridge,Black,SUP032,China,2014-06-01,GST_STANDARD,Protective case,True,True
PRD0033,Candle Arc 132,Tablet,Candle,1186.21,859.19,2013.0,24.0,0.566,SKU-CAN00033,Productivity Tablet,Shift,Blue,SUP033,Malaysia,2013-06-27,GST_STANDARD,Recycled box,True,True
PRD0034,Vela Echo 133,Home Entertainment,Vela,1865.66,1163.29,2013.0,24.0,6.011,SKU-VEL00034,Smart Display,Spark,Blue,SUP034,Malaysia,2013-04-20,GST_STANDARD,Box,True,True
PRD0035,Candle Orbit 134,Audio,Candle,410.43,253.05,2013.0,12.0,0.378,SKU-CAN00035,Wireless Audio,Vista,Graphite,SUP035,Japan,2013-09-21,GST_STANDARD,Recycled box,True,True
PRD0036,Vela Spark 135,Smart Home,Vela,116.11,62.47,2016.0,12.0,0.4,SKU-VEL00036,Home Automation,Wave,Graphite,SUP036,Korea,2016-10-12,GST_STANDARD,Box,True,True
PRD0037,Candle Bloom 136,Gaming,Candle,109.69,62.67,2015.0,24.0,1.328,SKU-CAN00037,Gaming Hardware,Arc,Silver,SUP037,Malaysia,2015-12-01,GST_STANDARD,Recycled box,False,True
PRD0038,Vela Halo 137,Wearable,Vela,829.21,594.96,2016.0,12.0,0.101,SKU-VEL00038,Health Wearable,Atlas,Red,SUP001,Korea,2016-02-18,GST_STANDARD,Protective case,False,True
PRD0039,Candle Quest 138,Networking,Candle,980.04,517.39,2012.0,24.0,0.59,SKU-CAN00039,Connected Network,Bloom,Gold,SUP002,Vietnam,2012-11-21,GST_STANDARD,Box,True,False
PRD0040,Vela Wave 139,Accessory,Vela,208.06,110.13,2012.0,12.0,0.248,SKU-VEL00040,Mobile Accessory,Core,Red,SUP003,China,2012-09-15,GST_STANDARD,Protective case,True,True
PRD0041,Candle Edge 140,Laptop,Candle,2120.5,1545.66,2013.0,24.0,1.173,SKU-CAN00041,Ultrabook,Edge,Silver,SUP004,Vietnam,2013-08-25,GST_STANDARD,Box,False,True
PRD0042,Vela Nova 141,Smartphone,Vela,1230.08,761.51,2013.0,24.0,0.2,SKU-VEL00042,5G Smartphone,Echo,Green,SUP005,Japan,2013-08-10,GST_STANDARD,Box,False,True
PRD0043,Candle Shift 142,Tablet,Candle,1106.1,687.01,2014.0,24.0,0.798,SKU-CAN00043,Productivity Tablet,Flux,Green,SUP006,Australia,2014-02-22,GST_STANDARD,Recycled box,True,True
PRD0044,Vela Atlas 143,Home Entertainment,Vela,3554.03,1756.93,2012.0,24.0,6.604,SKU-VEL00044,Smart Display,Halo,Gold,SUP007,China,2012-06-11,GST_STANDARD,Box,True,True
PRD0045,Candle Flux 144,Audio,Candle,70.08,44.9,2013.0,12.0,0.353,SKU-CAN00045,Wireless Audio,Lumen,Green,SUP008,Korea,2013-01-16,GST_STANDARD,Box,True,True
PRD0046,Vela Pulse 145,Smart Home,Vela,690.5,491.22,2016.0,12.0,0.403,SKU-VEL00046,Home Automation,Nova,Silver,SUP009,Korea,2016-12-15,GST_STANDARD,Protective case,False,True
PRD0047,Candle Vista 146,Gaming,Candle,1258.28,882.53,2015.0,24.0,1.588,SKU-CAN00047,Gaming Hardware,Orbit,White,SUP010,Korea,2015-07-13,GST_STANDARD,Box,True,False
PRD0048,Vela Core 147,Wearable,Vela,1075.72,553.27,2014.0,12.0,0.089,SKU-VEL00048,Health Wearable,Pulse,Green,SUP011,Australia,2014-12-10,GST_STANDARD,Protective case,False,True
PRD0049,Candle Lumen 148,Networking,Candle,149.55,86.7,2012.0,24.0,0.514,SKU-CAN00049,Connected Network,Quest,Green,SUP012,China,2012-08-12,GST_STANDARD,Protective case,True,True
PRD0050,Vela Ridge 149,Accessory,Vela,202.62,150.06,2014.0,12.0,0.246,SKU-VEL00050,Mobile Accessory,Ridge,Green,SUP013,Japan,2014-01-15,GST_STANDARD,Protective case,True,True
PRD0051,Candle Arc 150,Laptop,Candle,1650.3,1056.1,2014.0,24.0,2.028,SKU-CAN00051,Ultrabook,Shift,Green,SUP014,Japan,2014-08-12,GST_STANDARD,Recycled box,True,True
PRD0052,Vela Echo 151,Smartphone,Vela,1188.55,706.11,2016.0,24.0,0.254,SKU-VEL00052,5G Smartphone,Spark,Silver,SUP015,Korea,2016-12-17,GST_STANDARD,Recycled box,False,True
PRD0053,Candle Orbit 152,Tablet,Candle,482.7,327.9,2012.0,24.0,0.68,SKU-CAN00053,Productivity Tablet,Vista,Gold,SUP016,Japan,2012-12-15,GST_STANDARD,Box,False,True
PRD0054,Vela Spark 153,Home Entertainment,Vela,3965.82,2827.32,2016.0,24.0,8.532,SKU-VEL00054,Smart Display,Wave,Gold,SUP017,Japan,2016-12-02,GST_STANDARD,Recycled box,True,True
PRD0055,Candle Bloom 154,Audio,Candle,1172.72,676.64,2017.0,12.0,0.553,SKU-CAN00055,Wireless Audio,Arc,White,SUP018,Japan,2017-03-03,GST_STANDARD,Protective case,True,True
PRD0056,Vela Halo 155,Smart Home,Vela,318.87,182.75,2013.0,12.0,0.492,SKU-VEL00056,Home Automation,Atlas,Red,SUP019,Vietnam,2013-03-12,GST_STANDARD,Box,False,True
PRD0057,Candle Quest 156,Gaming,Candle,1403.88,1066.89,2014.0,24.0,1.304,SKU-CAN00057,Gaming Hardware,Bloom,White,SUP020,Korea,2014-12-07,GST_STANDARD,Protective case,True,False
PRD0058,Vela Wave 157,Wearable,Vela,660.96,381.86,2015.0,12.0,0.09,SKU-VEL00058,Health Wearable,Core,White,SUP021,Australia,2015-02-26,GST_STANDARD,Protective case,True,True
PRD0059,Candle Edge 158,Networking,Candle,721.08,365.89,2013.0,24.0,0.749,SKU-CAN00059,Connected Network,Edge,Green,SUP022,Korea,2013-07-08,GST_STANDARD,Protective case,True,True
PRD0060,Vela Nova 159,Accessory,Vela,97.23,64.05,2017.0,12.0,0.153,SKU-VEL00060,Mobile Accessory,Echo,Gold,SUP023,Malaysia,2017-03-25,GST_STANDARD,Recycled box,True,False
PRD0061,Candle Shift 160,Laptop,Candle,2524.66,1420.91,2015.0,24.0,1.749,SKU-CAN00061,Ultrabook,Flux,Graphite,SUP024,Japan,2015-08-12,GST_STANDARD,Protective case,True,True
PRD0062,Vela Atlas 161,Smartphone,Vela,1554.42,1025.42,2012.0,24.0,0.262,SKU-VEL00062,5G Smartphone,Halo,Silver,SUP025,Japan,2012-12-03,GST_STANDARD,Box,True,True
PRD0063,Candle Flux 162,Tablet,Candle,1124.17,769.21,2017.0,24.0,0.73,SKU-CAN00063,Productivity Tablet,Lumen,Graphite,SUP026,Vietnam,2017-03-16,GST_STANDARD,Box,True,True
PRD0064,Vela Pulse 163,Home Entertainment,Vela,3819.98,2874.14,2016.0,24.0,6.341,SKU-VEL00064,Smart Display,Nova,Blue,SUP027,Malaysia,2016-04-07,GST_STANDARD,Recycled box,True,True
PRD0065,Candle Vista 164,Audio,Candle,729.67,518.23,2016.0,12.0,0.659,SKU-CAN00065,Wireless Audio,Orbit,White,SUP028,China,2016-03-21,GST_STANDARD,Box,False,True
PRD0066,Vela Core 165,Smart Home,Vela,331.96,168.13,2017.0,12.0,0.446,SKU-VEL00066,Home Automation,Pulse,Green,SUP029,Korea,2017-05-19,GST_STANDARD,Box,True,True
PRD0067,Candle Lumen 166,Gaming,Candle,638.19,396.21,2012.0,24.0,1.107,SKU-CAN00067,Gaming Hardware,Quest,Silver,SUP030,Vietnam,2012-04-01,GST_STANDARD,Box,True,True
PRD0068,Vela Ridge 167,Wearable,Vela,190.2,125.33,2014.0,12.0,0.132,SKU-VEL00068,Health Wearable,Ridge,Graphite,SUP031,Korea,2014-11-10,GST_STANDARD,Box,True,True
PRD0069,Candle Arc 168,Networking,Candle,850.31,501.75,2017.0,24.0,0.765,SKU-CAN00069,Connected Network,Shift,Red,SUP032,Malaysia,2017-08-13,GST_STANDARD,Protective case,True,True
PRD0070,Vela Echo 169,Accessory,Vela,283.3,188.21,2012.0,12.0,0.141,SKU-VEL00070,Mobile Accessory,Spark,Gold,SUP033,China,2012-06-12,GST_STANDARD,Protective case,True,True
PRD0071,Candle Orbit 170,Laptop,Candle,2347.4,1657.2,2016.0,24.0,1.584,SKU-CAN00071,Ultrabook,Vista,Green,SUP034,Japan,2016-09-11,GST_STANDARD,Protective case,True,True
PRD0072,Vela Spark 171,Smartphone,Vela,1390.27,742.04,2012.0,24.0,0.283,SKU-VEL00072,5G Smartphone,Wave,Silver,SUP035,Australia,2012-05-04,GST_STANDARD,Protective case,True,True
PRD0073,Candle Bloom 172,Tablet,Candle,1110.47,601.54,2014.0,24.0,0.782,SKU-CAN00073,Productivity Tablet,Arc,White,SUP036,Vietnam,2014-07-21,GST_STANDARD,Box,False,True
PRD0074,Vela Halo 173,Home Entertainment,Vela,2480.38,1368.88,2013.0,24.0,9.615,SKU-VEL00074,Smart Display,Atlas,Gold,SUP037,Japan,2013-04-15,GST_STANDARD,Box,False,True
PRD0075,Candle Quest 174,Audio,Candle,227.56,126.38,2017.0,12.0,0.479,SKU-CAN00075,Wireless Audio,Bloom,White,SUP001,Malaysia,2017-07-11,GST_STANDARD,Protective case,True,True
PRD0076,Vela Wave 175,Smart Home,Vela,588.36,292.95,2013.0,12.0,0.325,SKU-VEL00076,Home Automation,Core,Green,SUP002,Japan,2013-04-04,GST_STANDARD,Recycled box,True,True
PRD0077,Candle Edge 176,Gaming,Candle,966.88,573.99,2013.0,24.0,0.954,SKU-CAN00077,Gaming Hardware,Edge,Green,SUP003,Australia,2013-09-12,GST_STANDARD,Recycled box,True,True
PRD0078,Vela Nova 177,Wearable,Vela,166.61,121.99,2016.0,12.0,0.117,SKU-VEL00078,Health Wearable,Echo,Red,SUP004,Korea,2016-01-17,GST_STANDARD,Protective case,True,True
PRD0079,Candle Shift 178,Networking,Candle,994.48,550.48,2016.0,24.0,0.921,SKU-CAN00079,Connected Network,Flux,Black,SUP005,Japan,2016-02-05,GST_STANDARD,Recycled box,False,True
PRD0080,Vela Atlas 179,Accessory,Vela,390.63,254.4,2014.0,12.0,0.153,SKU-VEL00080,Mobile Accessory,Halo,Gold,SUP006,Australia,2014-09-18,GST_STANDARD,Protective case,True,True
PRD0081,Candle Flux 180,Laptop,Candle,2768.19,1746.47,2013.0,24.0,1.33,SKU-CAN00081,Ultrabook,Lumen,Green,SUP007,Korea,2013-04-14,GST_STANDARD,Protective case,False,True
PRD0082,Vela Pulse 181,Smartphone,Vela,383.13,212.17,2014.0,24.0,0.16,SKU-VEL00082,5G Smartphone,Nova,Blue,SUP008,Vietnam,2014-03-22,GST_STANDARD,Recycled box,True,True
PRD0083,Candle Vista 182,Tablet,Candle,719.56,483.28,2015.0,24.0,0.477,SKU-CAN00083,Productivity Tablet,Orbit,Graphite,SUP009,Korea,2015-01-09,GST_STANDARD,Box,True,True
PRD0084,Vela Core 183,Home Entertainment,Vela,3113.17,2347.0,2015.0,24.0,9.507,SKU-VEL00084,Smart Display,Pulse,Silver,SUP010,Vietnam,2015-09-20,GST_STANDARD,Recycled box,False,True
PRD0085,Candle Lumen 184,Audio,Candle,304.21,158.13,2016.0,12.0,0.488,SKU-CAN00085,Wireless Audio,Quest,Green,SUP011,Japan,2016-03-25,GST_STANDARD,Box,True,True
PRD0086,Vela Ridge 185,Smart Home,Vela,248.61,119.48,2013.0,12.0,0.373,SKU-VEL00086,Home Automation,Ridge,White,SUP012,Korea,2013-11-04,GST_STANDARD,Box,True,True
PRD0087,Candle Arc 186,Gaming,Candle,2140.71,1088.63,2012.0,24.0,1.277,SKU-CAN00087,Gaming Hardware,Shift,Silver,SUP013,Malaysia,2012-03-18,GST_STANDARD,Protective case,False,True
PRD0088,Vela Echo 187,Wearable,Vela,835.18,538.46,2014.0,12.0,0.15,SKU-VEL00088,Health Wearable,Spark,Red,SUP014,Korea,2014-04-04,GST_STANDARD,Recycled box,True,True
PRD0089,Candle Orbit 188,Networking,Candle,865.25,482.07,2015.0,24.0,0.557,SKU-CAN00089,Connected Network,Vista,Silver,SUP015,Japan,2015-08-18,GST_STANDARD,Protective case,True,True
PRD0090,Vela Spark 189,Accessory,Vela,166.35,111.2,2016.0,12.0,0.136,SKU-VEL00090,Mobile Accessory,Wave,Gold,SUP016,China,2016-12-13,GST_STANDARD,Protective case,True,True
PRD0091,Candle Bloom 190,Laptop,Candle,1559.91,1136.53,2017.0,24.0,1.748,SKU-CAN00091,Ultrabook,Arc,Red,SUP017,Malaysia,2017-04-07,GST_STANDARD,Box,True,True
PRD0092,Vela Halo 191,Smartphone,Vela,1623.69,979.6,2015.0,24.0,0.238,SKU-VEL00092,5G Smartphone,Atlas,Graphite,SUP018,Australia,2015-06-24,GST_STANDARD,Recycled box,True,True
PRD0093,Candle Quest 192,Tablet,Candle,1015.33,713.28,2013.0,24.0,0.512,SKU-CAN00093,Productivity Tablet,Bloom,Gold,SUP019,Australia,2013-09-07,GST_STANDARD,Protective case,True,True
PRD0094,Vela Wave 193,Home Entertainment,Vela,1376.89,977.5,2016.0,24.0,9.71,SKU-VEL00094,Smart Display,Core,Red,SUP020,Malaysia,2016-08-10,GST_STANDARD,Box,True,True
PRD0095,Candle Edge 194,Audio,Candle,857.11,633.28,2015.0,12.0,0.586,SKU-CAN00095,Wireless Audio,Edge,Red,SUP021,Japan,2015-11-07,GST_STANDARD,Protective case,False,True
PRD0096,Vela Nova 195,Smart Home,Vela,329.23,233.98,2013.0,12.0,0.374,SKU-VEL00096,Home Automation,Echo,Black,SUP022,Vietnam,2013-08-23,GST_STANDARD,Recycled box,True,True
PRD0097,Candle Shift 196,Gaming,Candle,673.56,378.91,2014.0,24.0,1.004,SKU-CAN00097,Gaming Hardware,Flux,Black,SUP023,China,2014-01-01,GST_STANDARD,Box,False,False
PRD0098,Vela Atlas 197,Wearable,Vela,149.72,73.85,2016.0,12.0,0.105,SKU-VEL00098,Health Wearable,Halo,Gold,SUP024,Japan,2016-08-22,GST_STANDARD,Box,True,True
PRD0099,Candle Flux 198,Networking,Candle,469.56,339.96,2012.0,24.0,0.714,SKU-CAN00099,Connected Network,Lumen,Green,SUP025,Korea,2012-07-12,GST_STANDARD,Box,True,True
PRD0100,Vela Pulse 199,Accessory,Vela,122.42,73.78,2015.0,12.0,0.244,SKU-VEL00100,Mobile Accessory,Nova,Graphite,SUP026,Malaysia,2015-05-24,GST_STANDARD,Protective case,True,True
PRD0101,Candle Vista 200,Laptop,Candle,1447.07,1016.17,2013.0,24.0,1.464,SKU-CAN00101,Ultrabook,Orbit,Gold,SUP027,Australia,2013-04-05,GST_STANDARD,Recycled box,True,True
PRD0102,Vela Core 201,Smartphone,Vela,786.59,395.22,2014.0,24.0,0.213,SKU-VEL00102,5G Smartphone,Pulse,Graphite,SUP028,Australia,2014-01-14,GST_STANDARD,Protective case,False,True
PRD0103,Candle Lumen 202,Tablet,Candle,540.65,280.56,2017.0,24.0,0.552,SKU-CAN00103,Productivity Tablet,Quest,Red,SUP029,Malaysia,2017-04-12,GST_STANDARD,Box,True,True
PRD0104,Vela Ridge 203,Home Entertainment,Vela,3735.61,2543.64,2015.0,24.0,5.907,SKU-VEL00104,Smart Display,Ridge,Blue,SUP030,Australia,2015-04-20,GST_STANDARD,Box,False,True
PRD0105,Candle Arc 204,Audio,Candle,275.3,199.44,2012.0,12.0,0.488,SKU-CAN00105,Wireless Audio,Shift,Green,SUP031,China,2012-04-24,GST_STANDARD,Box,True,True
PRD0106,Vela Echo 205,Smart Home,Vela,217.23,147.12,2017.0,12.0,0.43,SKU-VEL00106,Home Automation,Spark,White,SUP032,Korea,2017-04-16,GST_STANDARD,Protective case,True,True
PRD0107,Candle Orbit 206,Gaming,Candle,1500.51,940.15,2013.0,24.0,1.568,SKU-CAN00107,Gaming Hardware,Vista,Green,SUP033,Malaysia,2013-09-09,GST_STANDARD,Protective case,True,True
PRD0108,Vela Spark 207,Wearable,Vela,186.84,109.78,2017.0,12.0,0.115,SKU-VEL00108,Health Wearable,Wave,Green,SUP034,Korea,2017-04-09,GST_STANDARD,Recycled box,False,True
PRD0109,Candle Bloom 208,Networking,Candle,516.32,306.48,2016.0,24.0,0.546,SKU-CAN00109,Connected Network,Arc,Graphite,SUP035,Australia,2016-05-08,GST_STANDARD,Recycled box,True,True
PRD0110,Vela Halo 209,Accessory,Vela,250.51,138.83,2016.0,12.0,0.216,SKU-VEL00110,Mobile Accessory,Atlas,White,SUP036,China,2016-06-24,GST_STANDARD,Recycled box,False,False
PRD0111,Candle Quest 210,Laptop,Candle,1802.88,1277.26,2017.0,24.0,1.51,SKU-CAN00111,Ultrabook,Bloom,Gold,SUP037,China,2017-10-26,GST_STANDARD,Recycled box,True,True
PRD0112,Vela Wave 211,Smartphone,Vela,1193.81,632.24,2016.0,24.0,0.207,SKU-VEL00112,5G Smartphone,Core,White,SUP001,Malaysia,2016-11-12,GST_STANDARD,Protective case,True,True
PRD0113,Candle Edge 212,Tablet,Candle,605.4,411.96,2013.0,24.0,0.519,SKU-CAN00113,Productivity Tablet,Edge,Gold,SUP002,China,2013-07-11,GST_STANDARD,Protective case,True,True
PRD0114,Vela Nova 213,Home Entertainment,Vela,2615.62,1599.99,2016.0,24.0,5.596,SKU-VEL00114,Smart Display,Echo,Green,SUP003,Japan,2016-08-01,GST_STANDARD,Box,False,True
PRD0115,Candle Shift 214,Audio,Candle,895.49,678.25,2016.0,12.0,0.408,SKU-CAN00115,Wireless Audio,Flux,Green,SUP004,China,2016-11-02,GST_STANDARD,Box,True,True
PRD0116,Vela Atlas 215,Smart Home,Vela,466.48,331.06,2013.0,12.0,0.382,SKU-VEL00116,Home Automation,Halo,White,SUP005,Malaysia,2013-07-10,GST_STANDARD,Box,True,True
PRD0117,Candle Flux 216,Gaming,Candle,1153.53,855.34,2015.0,24.0,1.308,SKU-CAN00117,Gaming Hardware,Lumen,Blue,SUP006,Malaysia,2015-09-02,GST_STANDARD,Box,True,True
PRD0118,Vela Pulse 217,Wearable,Vela,461.86,263.55,2014.0,12.0,0.128,SKU-VEL00118,Health Wearable,Nova,Gold,SUP007,Korea,2014-08-25,GST_STANDARD,Protective case,True,True
PRD0119,Candle Vista 218,Networking,Candle,844.43,415.65,2017.0,24.0,0.686,SKU-CAN00119,Connected Network,Orbit,White,SUP008,China,2017-02-25,GST_STANDARD,Recycled box,True,True
PRD0120,Vela Core 219,Accessory,Vela,319.18,184.28,2013.0,12.0,0.191,SKU-VEL00120,Mobile Accessory,Pulse,Black,SUP009,Japan,2013-02-14,GST_STANDARD,Protective case,True,True
PRD0121,Candle Lumen 220,Laptop,Candle,3098.72,1863.6,2013.0,24.0,1.694,SKU-CAN00121,Ultrabook,Quest,Gold,SUP010,Vietnam,2013-10-01,GST_STANDARD,Recycled box,False,True
PRD0122,Vela Ridge 221,Smartphone,Vela,1755.78,950.0,2017.0,24.0,0.16,SKU-VEL00122,5G Smartphone,Ridge,Black,SUP011,Vietnam,2017-07-11,GST_STANDARD,Recycled box,False,True
PRD0123,Candle Arc 222,Tablet,Candle,322.81,176.19,2017.0,24.0,0.66,SKU-CAN00123,Productivity Tablet,Shift,Graphite,SUP012,Japan,2017-09-24,GST_STANDARD,Recycled box,False,True
PRD0124,Vela Echo 223,Home Entertainment,Vela,2036.87,1055.69,2015.0,24.0,9.861,SKU-VEL00124,Smart Display,Spark,Graphite,SUP013,Malaysia,2015-11-11,GST_STANDARD,Protective case,True,True
PRD0125,Candle Orbit 224,Audio,Candle,1004.47,718.97,2012.0,12.0,0.648,SKU-CAN00125,Wireless Audio,Vista,Black,SUP014,Australia,2012-01-17,GST_STANDARD,Recycled box,True,True
PRD0126,Vela Spark 225,Smart Home,Vela,652.43,369.02,2012.0,12.0,0.271,SKU-VEL00126,Home Automation,Wave,Graphite,SUP015,China,2012-07-21,GST_STANDARD,Recycled box,True,True
PRD0127,Candle Bloom 226,Gaming,Candle,1805.09,908.8,2012.0,24.0,1.372,SKU-CAN00127,Gaming Hardware,Arc,White,SUP016,Vietnam,2012-02-22,GST_STANDARD,Box,True,True
PRD0128,Vela Halo 227,Wearable,Vela,396.23,263.8,2013.0,12.0,0.131,SKU-VEL00128,Health Wearable,Atlas,Gold,SUP017,Vietnam,2013-05-17,GST_STANDARD,Recycled box,True,True
PRD0129,Candle Quest 228,Networking,Candle,416.68,288.24,2014.0,24.0,0.748,SKU-CAN00129,Connected Network,Bloom,Green,SUP018,Korea,2014-12-26,GST_STANDARD,Recycled box,True,True
PRD0130,Vela Wave 229,Accessory,Vela,128.78,94.6,2014.0,12.0,0.175,SKU-VEL00130,Mobile Accessory,Core,Graphite,SUP019,China,2014-01-05,GST_STANDARD,Recycled box,True,True
