order_item_id,order_id,product_id,quantity,unit_price,line_revenue
HITM0000053,HORD000017,PRD0189,2.0,1154.51,2309.02
HITM0000054,HORD000017,PRD0165,1.0,722.38,722.38
HITM0000055,HORD000017,PRD0183,1.0,880.19,880.19
HITM0000056,HORD000018,PRD0845,1.0,242.25,242.25
HITM0000057,HORD000018,PRD0648,1.0,210.67,210.67
HITM0000058,HORD000018,PRD0789,1.0,106.8,106.8
HITM0000059,HORD000018,PRD0728,1.0,188.05,188.05
HITM0000060,HORD000018,PRD0815,1.0,446.57,446.57
HITM0000061,HORD000019,PRD0216,1.0,56.76,56.76
HITM0000062,HORD000019,PRD0686,1.0,791.36,791.36
HITM0000063,HORD000019,PRD0485,1.0,518.63,518.63
HITM0000064,HORD000020,PRD0689,1.0,1240.98,1240.98
HITM0000065,HORD000020,PRD0248,1.0,494.67,494.67
HITM0000066,HORD000020,PRD0259,2.0,1302.81,2605.62
HITM0000067,HORD000021,PRD0517,1.0,1366.6,1366.6
HITM0000068,HORD000021,PRD0278,2.0,100.15,200.3
HITM0000069,HORD000021,PRD0145,1.0,1050.7,1050.7
HITM0000070,HORD000021,PRD0155,1.0,237.13,237.13
HITM0000071,HORD000022,PRD0094,2.0,1376.89,2753.78
HITM0000072,HORD000022,PRD0490,1.0,20.66,20.66
HITM0000073,HORD000022,PRD0759,1.0,943.47,943.47
HITM0000074,HORD000022,PRD0300,2.0,30.76,61.52
HITM0000075,HORD000023,PRD0078,2.0,166.61,333.22
HITM0000076,HORD000023,PRD0047,1.0,1258.28,1258.28
HITM0000077,HORD000023,PRD0422,1.0,1749.99,1749.99
HITM0000078,HORD000024,PRD0799,1.0,373.98,373.98
HITM0000079,HORD000024,PRD0796,1.0,830.56,830.56
HITM0000080,HORD000024,PRD0877,1.0,1300.22,1300.22
HITM0000081,HORD000025,PRD0082,1.0,383.13,383.13
HITM0000082,HORD000025,PRD0510,1.0,71.92,71.92
HITM0000083,HORD000025,PRD0445,2.0,1141.73,2283.46
HITM0000084,HORD000026,PRD0396,1.0,120.07,120.07
HITM0000085,HORD000026,PRD0860,1.0,148.71,148.71
HITM0000086,HORD000026,PRD0734,1.0,2197.09,2197.09
HITM0000087,HORD000026,PRD0916,1.0,265.34,265.34
HITM0000088,HORD000027,PRD0158,1.0,464.07,464.07
HITM0000089,HORD000027,PRD0049,1.0,149.55,149.55
HITM0000090,HORD000028,PRD0924,2.0,1614.34,3228.68
HITM0000091,HORD000028,PRD0854,2.0,386.3,772.6
HITM0000092,HORD000028,PRD0715,1.0,343.66,343.66
HITM0000093,HORD000028,PRD0309,1.0,335.12,335.12
HITM0000094,HORD000028,PRD0781,1.0,1410.25,1410.25
HITM0000095,HORD000029,PRD0790,1.0,25.52,25.52
HITM0000096,HORD000029,PRD0025,2.0,403.1,806.2
HITM0000097,HORD000029,PRD0327,1.0,783.26,783.26
HITM0000098,HORD000029,PRD0472,2.0,1096.23,2192.46
HITM0000099,HORD000030,PRD0063,2.0,1124.17,2248.34
HITM0000100,HORD000030,PRD0136,1.0,107.5,107.5
HITM0000101,HORD000031,PRD0311,1.0,1105.19,1105.19
HITM0000102,HORD000031,PRD0194,1.0,1326.23,1326.23
HITM0000103,HORD000031,PRD0010,1.0,15.97,15.97
HITM0000104,HORD000031,PRD0725,1.0,821.74,821.74
HITM0000105,HORD000032,PRD0885,1.0,510.35,510.35
HITM0000106,HORD000032,PRD0105,2.0,275.3,550.6
HITM0000107,HORD000032,PRD0596,2.0,741.69,1483.38
HITM0000108,HORD000033,PRD0089,1.0,865.25,865.25
HITM0000109,HORD000033,PRD0193,2.0,609.21,1218.42
HITM0000110,HORD000034,PRD0020,2.0,153.47,306.94
HITM0000111,HORD000034,PRD0376,1.0,804.1,804.1
HITM0000112,HORD000034,PRD0700,1.0,258.76,258.76
HITM0000113,HORD000034,PRD0596,1.0,741.69,741.69
HITM0000114,HORD000035,PRD0004,1.0,466.88,466.88
HITM0000115,HORD000035,PRD0761,2.0,965.07,1930.14
HITM0000116,HORD000036,PRD0810,1.0,224.68,224.68
HITM0000117,HORD000036,PRD0304,2.0,524.3,1048.6
HITM0000118,HORD000036,PRD0461,1.0,2080.96,2080.96
HITM0000119,HORD000037,PRD0681,2.0,2498.26,4996.52
HITM0000120,HORD000037,PRD0518,1.0,614.84,614.84
HITM0000121,HORD000038,PRD0700,1.0,258.76,258.76
HITM0000122,HORD000038,PRD0629,1.0,270.17,270.17
HITM0000123,HORD000039,PRD0211,1.0,2411.53,2411.53
HITM0000124,HORD000039,PRD0202,1.0,1243.06,1243.06
HITM0000125,HORD000040,PRD0209,1.0,1090.92,1090.92
HITM0000126,HORD000040,PRD0657,2.0,91.2,182.4
HITM0000127,HORD000040,PRD0274,1.0,2383.39,2383.39
HITM0000128,HORD000040,PRD0273,1.0,1515.39,1515.39
HITM0000129,HORD000041,PRD0520,1.0,93.98,93.98
HITM0000130,HORD000041,PRD0859,2.0,870.26,1740.52
HITM0000131,HORD000041,PRD0648,2.0,210.67,421.34
HITM0000132,HORD000041,PRD0935,1.0,249.9,249.9
HITM0000133,HORD000041,PRD0653,2.0,1533.48,3066.96
HITM0000134,HORD000042,PRD0938,2.0,857.34,1714.68
HITM0000135,HORD000042,PRD0332,1.0,560.39,560.39
HITM0000136,HORD000043,PRD0494,1.0,780.48,780.48
HITM0000137,HORD000043,PRD0186,2.0,223.64,447.28
HITM0000138,HORD000044,PRD0019,1.0,741.78,741.78
HITM0000139,HORD000044,PRD0843,2.0,1142.85,2285.7
HITM0000140,HORD000044,PRD0935,1.0,249.9,249.9
HITM0000141,HORD000045,PRD0030,1.0,159.51,159.51
HITM0000142,HORD000046,PRD0549,2.0,1361.68,2723.36
HITM0000143,HORD000046,PRD0801,1.0,1245.32,1245.32
HITM0000144,HORD000046,PRD0517,1.0,1366.6,1366.6
HITM0000145,HORD000047,PRD0764,1.0,3444.81,3444.81
HITM0000146,HORD000047,PRD0840,2.0,148.97,297.94
HITM0000147,HORD000047,PRD0300,2.0,30.76,61.52
HITM0000148,HORD000048,PRD0722,1.0,909.76,909.76
HITM0000149,HORD000048,PRD0945,1.0,888.88,888.88
HITM0000150,HORD000048,PRD0518,1.0,614.84,614.84
HITM0000151,HORD000048,PRD0042,2.0,1230.08,2460.16
HITM0000152,HORD000049,PRD0373,1.0,572.77,572.77
HITM0000153,HORD000049,PRD0078,2.0,166.61,333.22
HITM0000154,HORD000050,PRD0486,1.0,825.47,825.47
HITM0000155,HORD000050,PRD0156,3.0,681.59,2044.77
HITM0000156,HORD000050,PRD0547,1.0,2376.82,2376.82
HITM0000157,HORD000051,PRD0482,1.0,653.2,653.2
HITM0000158,HORD000051,PRD0875,1.0,916.11,916.11
HITM0000159,HORD000052,PRD0629,1.0,270.17,270.17
HITM0000160,HORD000052,PRD0670,2.0,85.16,170.32
HITM0000161,HORD000052,PRD0707,1.0,1911.85,1911.85
HITM0000162,HORD000052,PRD0363,1.0,1523.75,1523.75
HITM0000163,HORD000053,PRD0380,1.0,117.36,117.36
HITM0000164,HORD000053,PRD0145,1.0,1050.7,1050.7
HITM0000165,HORD000053,PRD0382,1.0,453.52,453.52
HITM0000166,HORD000054,PRD0408,1.0,680.47,680.47
HITM0000167,HORD000054,PRD0260,1.0,73.31,73.31
HITM0000168,HORD000054,PRD0371,1.0,1060.97,1060.97
HITM0000169,HORD000054,PRD0386,1.0,109.17,109.17
HITM0000170,HORD000054,PRD0460,1.0,99.79,99.79
HITM0000171,HORD000055,PRD0837,1.0,333.32,333.32
HITM0000172,HORD000055,PRD0179,1.0,1156.54,1156.54
HITM0000173,HORD000056,PRD0568,1.0,272.51,272.51
HITM0000174,HORD000056,PRD0576,1.0,136.9,136.9
HITM0000175,HORD000057,PRD0690,1.0,306.64,306.64
HITM0000176,HORD000057,PRD0710,2.0,302.55,605.1
HITM0000177,HORD000057,PRD0717,1.0,615.2,615.2
HITM0000178,HORD000057,PRD0734,1.0,2197.09,2197.09
HITM0000179,HORD000057,PRD0739,1.0,408.6,408.6
HITM0000180,HORD000058,PRD0054,1.0,3965.82,3965.82
HITM0000181,HORD000058,PRD0042,1.0,1230.08,1230.08
HITM0000182,HORD000058,PRD0357,1.0,193.87,193.87
HITM0000183,HORD000059,PRD0863,2.0,1009.18,2018.36
HITM0000184,HORD000059,PRD0449,1.0,227.09,227.09
HITM0000185,HORD000059,PRD0508,1.0,637.75,637.75
HITM0000186,HORD000060,PRD0209,2.0,1090.92,2181.84
HITM0000187,HORD000060,PRD0563,2.0,270.8,541.6
HITM0000188,HORD000060,PRD0211,1.0,2411.53,2411.53
HITM0000189,HORD000061,PRD0500,1.0,352.58,352.58
HITM0000190,HORD000061,PRD0555,1.0,407.18,407.18
HITM0000191,HORD000062,PRD0555,1.0,407.18,407.18
HITM0000192,HORD000062,PRD0553,1.0,722.16,722.16
HITM0000193,HORD000062,PRD0270,1.0,145.44,145.44
HITM0000194,HORD000063,PRD0244,1.0,3425.92,3425.92
HITM0000195,HORD000063,PRD0162,1.0,441.75,441.75
HITM0000196,HORD000064,PRD0495,2.0,617.55,1235.1
HITM0000197,HORD000064,PRD0316,1.0,28.93,28.93
HITM0000198,HORD000064,PRD0008,1.0,799.44,799.44
HITM0000199,HORD000064,PRD0010,1.0,15.97,15.97
HITM0000200,HORD000065,PRD0856,1.0,415.09,415.09
HITM0000201,HORD000065,PRD0835,1.0,427.39,427.39
HITM0000202,HORD000065,PRD0198,2.0,155.28,310.56
HITM0000203,HORD000066,PRD0646,3.0,98.45,295.35
HITM0000204,HORD000066,PRD0880,1.0,263.31,263.31
HITM0000205,HORD000066,PRD0540,2.0,255.66,511.32
HITM0000206,HORD000066,PRD0134,1.0,3468.51,3468.51
HITM0000207,HORD000067,PRD0508,1.0,637.75,637.75
HITM0000208,HORD000067,PRD0844,1.0,1996.67,1996.67
HITM0000209,HORD000067,PRD0357,1.0,193.87,193.87
HITM0000210,HORD000068,PRD0303,2.0,961.05,1922.1
HITM0000211,HORD000068,PRD0313,1.0,695.88,695.88
HITM0000212,HORD000068,PRD0765,2.0,126.56,253.12
HITM0000213,HORD000068,PRD0683,1.0,1384.61,1384.61
HITM0000214,HORD000069,PRD0899,1.0,1401.94,1401.94
HITM0000215,HORD000069,PRD0436,2.0,99.16,198.32
HITM0000216,HORD000069,PRD0979,1.0,1102.97,1102.97
HITM0000217,HORD000070,PRD0399,1.0,628.54,628.54
HITM0000218,HORD000070,PRD0752,2.0,1353.89,2707.78
HITM0000219,HORD000071,PRD0097,1.0,673.56,673.56
HITM0000220,HORD000071,PRD0136,2.0,107.5,215.0
HITM0000221,HORD000072,PRD0037,1.0,109.69,109.69
HITM0000222,HORD000072,PRD0755,1.0,683.65,683.65
HITM0000223,HORD000072,PRD0343,1.0,1244.05,1244.05
HITM0000224,HORD000073,PRD0706,1.0,746.72,746.72
HITM0000225,HORD000074,PRD0901,1.0,1477.12,1477.12
HITM0000226,HORD000074,PRD0472,2.0,1096.23,2192.46
HITM0000227,HORD000074,PRD0724,3.0,1250.76,3752.28
HITM0000228,HORD000075,PRD0119,1.0,844.43,844.43
HITM0000229,HORD000075,PRD0275,1.0,182.18,182.18
HITM0000230,HORD000076,PRD0008,1.0,799.44,799.44
HITM0000231,HORD000076,PRD0238,1.0,690.75,690.75
HITM0000232,HORD000076,PRD0894,1.0,1604.45,1604.45
HITM0000233,HORD000076,PRD0188,1.0,604.15,604.15
HITM0000234,HORD000077,PRD0609,1.0,138.47,138.47
HITM0000235,HORD000077,PRD0844,1.0,1996.67,1996.67
HITM0000236,HORD000077,PRD0904,1.0,673.64,673.64
HITM0000237,HORD000077,PRD0690,3.0,306.64,919.92
HITM0000238,HORD000077,PRD0374,1.0,1059.26,1059.26
HITM0000239,HORD000078,PRD0199,1.0,290.9,290.9
HITM0000240,HORD000079,PRD0148,1.0,784.78,784.78
HITM0000241,HORD000079,PRD0981,2.0,2272.24,4544.48
HITM0000242,HORD000079,PRD0805,1.0,151.93,151.93
HITM0000243,HORD000080,PRD0628,1.0,306.06,306.06
HITM0000244,HORD000080,PRD0896,1.0,502.67,502.67
HITM0000245,HORD000081,PRD0856,2.0,415.09,830.18
HITM0000246,HORD000081,PRD0437,1.0,1241.03,1241.03
HITM0000247,HORD000081,PRD0567,1.0,383.28,383.28
HITM0000248,HORD000081,PRD0963,1.0,488.16,488.16
HITM0000249,HORD000082,PRD0964,2.0,1397.93,2795.86
HITM0000250,HORD000082,PRD0549,1.0,1361.68,1361.68
HITM0000251,HORD000083,PRD0553,1.0,722.16,722.16
HITM0000252,HORD000083,PRD0189,1.0,1154.51,1154.51
HITM0000253,HORD000083,PRD0998,2.0,546.63,1093.26
HITM0000254,HORD000084,PRD0751,1.0,1210.18,1210.18
HITM0000255,HORD000084,PRD0979,1.0,1102.97,1102.97
HITM0000256,HORD000084,PRD0381,1.0,1910.84,1910.84
HITM0000257,HORD000085,PRD0952,2.0,982.79,1965.58
HITM0000258,HORD000085,PRD0124,1.0,2036.87,2036.87
HITM0000259,HORD000085,PRD0975,3.0,977.14,2931.42
HITM0000260,HORD000085,PRD0456,1.0,417.01,417.01
HITM0000261,HORD000085,PRD0676,2.0,444.48,888.96
HITM0000262,HORD000086,PRD0729,2.0,1008.84,2017.68
HITM0000263,HORD000086,PRD0180,1.0,24.86,24.86
HITM0000264,HORD000086,PRD0555,1.0,407.18,407.18
HITM0000265,HORD000086,PRD0470,1.0,290.42,290.42
HITM0000266,HORD000086,PRD0065,1.0,729.67,729.67
HITM0000267,HORD000087,PRD0172,1.0,1821.63,1821.63
HITM0000268,HORD000087,PRD0563,1.0,270.8,270.8
HITM0000269,HORD000087,PRD0388,1.0,269.65,269.65
HITM0000270,HORD000088,PRD0521,1.0,1486.1,1486.1
HITM0000271,HORD000088,PRD0028,1.0,364.14,364.14
HITM0000272,HORD000088,PRD0988,1.0,470.37,470.37
HITM0000273,HORD000088,PRD0968,1.0,607.18,607.18
HITM0000274,HORD000089,PRD0266,1.0,424.49,424.49
HITM0000275,HORD000089,PRD0958,1.0,655.23,655.23
HITM0000276,HORD000089,PRD0502,2.0,1894.29,3788.58
HITM0000277,HORD000090,PRD0060,1.0,97.23,97.23
HITM0000278,HORD000090,PRD0369,1.0,462.08,462.08
HITM0000279,HORD000090,PRD0780,1.0,191.96,191.96
HITM0000280,HORD000091,PRD0630,1.0,59.46,59.46
HITM0000281,HORD000091,PRD0628,1.0,306.06,306.06
HITM0000282,HORD000091,PRD0316,1.0,28.93,28.93
HITM0000283,HORD000092,PRD0152,2.0,476.3,952.6
HITM0000284,HORD000092,PRD0303,1.0,961.05,961.05
HITM0000285,HORD000093,PRD0610,1.0,21.93,21.93
HITM0000286,HORD000093,PRD0500,1.0,352.58,352.58
HITM0000287,HORD000093,PRD0596,1.0,741.69,741.69
HITM0000288,HORD000094,PRD0099,1.0,469.56,469.56
HITM0000289,HORD000094,PRD0686,1.0,791.36,791.36
HITM0000290,HORD000095,PRD0529,1.0,1448.34,1448.34
HITM0000291,HORD000095,PRD0733,1.0,894.02,894.02
HITM0000292,HORD000095,PRD0666,1.0,108.17,108.17
HITM0000293,HORD000096,PRD0438,1.0,246.04,246.04
HITM0000294,HORD000096,PRD0758,2.0,688.14,1376.28
HITM0000295,HORD000096,PRD0938,3.0,857.34,2572.02
HITM0000296,HORD000097,PRD0326,2.0,791.27,1582.54
HITM0000297,HORD000097,PRD0360,1.0,14.71,14.71
HITM0000298,HORD000097,PRD0257,1.0,2532.59,2532.59
HITM0000299,HORD000098,PRD0325,1.0,54.61,54.61
HITM0000300,HORD000098,PRD0661,2.0,1397.85,2795.7
HITM0000301,HORD000098,PRD0732,1.0,685.95,685.95
HITM0000302,HORD000099,PRD0359,2.0,169.12,338.24
HITM0000303,HORD000099,PRD0716,1.0,242.32,242.32
HITM0000304,HORD000099,PRD0047,1.0,1258.28,1258.28
HITM0000305,HORD000099,PRD0178,1.0,317.56,317.56
HITM0000306,HORD000100,PRD0021,1.0,2242.17,2242.17
HITM0000307,HORD000100,PRD0078,3.0,166.61,499.83
HITM0000308,HORD000100,PRD0203,1.0,910.47,910.47
HITM0000309,HORD000100,PRD0950,1.0,321.18,321.18
HITM0000310,HORD000101,PRD0977,1.0,352.01,352.01
HITM0000311,HORD000101,PRD0810,1.0,224.68,224.68
HITM0000312,HORD000101,PRD0020,2.0,153.47,306.94
HITM0000313,HORD000101,PRD0152,1.0,476.3,476.3
HITM0000314,HORD000101,PRD0489,1.0,264.6,264.6
HITM0000315,HORD000102,PRD0872,2.0,1715.8,3431.6
HITM0000316,HORD000102,PRD0112,1.0,1193.81,1193.81
HITM0000317,HORD000102,PRD0122,1.0,1755.78,1755.78
HITM0000318,HORD000102,PRD0106,1.0,217.23,217.23
HITM0000319,HORD000102,PRD0573,1.0,394.67,394.67
HITM0000320,HORD000103,PRD0271,2.0,1115.7,2231.4
HITM0000321,HORD000104,PRD0018,1.0,112.62,112.62
HITM0000322,HORD000104,PRD0070,1.0,283.3,283.3
HITM0000323,HORD000104,PRD0337,3.0,92.59,277.77
HITM0000324,HORD000104,PRD0153,1.0,926.23,926.23
HITM0000325,HORD000105,PRD0779,1.0,296.88,296.88
HITM0000326,HORD000105,PRD0108,1.0,186.84,186.84
HITM0000327,HORD000105,PRD0476,1.0,59.63,59.63
HITM0000328,HORD000106,PRD0439,1.0,1119.95,1119.95
HITM0000329,HORD000106,PRD0845,2.0,242.25,484.5
HITM0000330,HORD000106,PRD0368,1.0,807.79,807.79
HITM0000331,HORD000106,PRD0190,1.0,417.54,417.54
HITM0000332,HORD000106,PRD0450,1.0,138.07,138.07
HITM0000333,HORD000107,PRD0154,1.0,1575.91,1575.91
HITM0000334,HORD000107,PRD0665,1.0,215.81,215.81
HITM0000335,HORD000107,PRD0426,1.0,284.68,284.68
HITM0000336,HORD000107,PRD0613,1.0,990.18,990.18
HITM0000337,HORD000107,PRD0570,1.0,98.43,98.43
HITM0000338,HORD000108,PRD0881,1.0,1292.47,1292.47
HITM0000339,HORD000108,PRD0657,1.0,91.2,91.2
HITM0000340,HORD000108,PRD0763,1.0,1426.88,1426.88
HITM0000341,HORD000109,PRD0645,1.0,886.19,886.19
HITM0000342,HORD000109,PRD0598,1.0,929.85,929.85
HITM0000343,HORD000110,PRD0367,1.0,1853.15,1853.15
HITM0000344,HORD000110,PRD0433,1.0,1358.38,1358.38
HITM0000345,HORD000110,PRD0391,1.0,1089.38,1089.38
HITM0000346,HORD000110,PRD0364,1.0,1836.13,1836.13
HITM0000347,HORD000110,PRD0715,1.0,343.66,343.66
HITM0000348,HORD000111,PRD0947,1.0,1897.91,1897.91
HITM0000349,HORD000111,PRD0804,3.0,1164.25,3492.75
HITM0000350,HORD000111,PRD0742,1.0,1512.78,1512.78
HITM0000351,HORD000112,PRD0564,2.0,1250.64,2501.28
HITM0000352,HORD000112,PRD0140,1.0,54.35,54.35
HITM0000353,HORD000112,PRD0930,1.0,371.97,371.97
HITM0000354,HORD000112,PRD0511,1.0,1305.5,1305.5
HITM0000355,HORD000113,PRD0105,1.0,275.3,275.3
HITM0000356,HORD000113,PRD0057,1.0,1403.88,1403.88
HITM0000357,HORD000113,PRD0684,1.0,1584.7,1584.7
HITM0000358,HORD000113,PRD0708,1.0,720.36,720.36
HITM0000359,HORD000113,PRD0506,1.0,309.66,309.66
HITM0000360,HORD000114,PRD0866,2.0,328.46,656.92
HITM0000361,HORD000114,PRD0365,1.0,884.05,884.05
HITM0000362,HORD000115,PRD0576,1.0,136.9,136.9
HITM0000363,HORD000115,PRD0807,2.0,1536.27,3072.54
HITM0000364,HORD000115,PRD0516,1.0,565.33,565.33
HITM0000365,HORD000116,PRD0303,1.0,961.05,961.05
HITM0000366,HORD000117,PRD0894,2.0,1604.45,3208.9
HITM0000367,HORD000117,PRD0531,1.0,2758.01,2758.01
HITM0000368,HORD000117,PRD0219,1.0,374.02,374.02
HITM0000369,HORD000118,PRD0245,1.0,653.23,653.23
HITM0000370,HORD000118,PRD0676,1.0,444.48,444.48
HITM0000371,HORD000118,PRD0892,1.0,324.59,324.59
HITM0000372,HORD000119,PRD0834,1.0,2476.82,2476.82
HITM0000373,HORD000119,PRD0300,1.0,30.76,30.76
HITM0000374,HORD000119,PRD0919,1.0,1151.13,1151.13
HITM0000375,HORD000120,PRD0180,1.0,24.86,24.86
HITM0000376,HORD000120,PRD0306,1.0,643.72,643.72
HITM0000377,HORD000121,PRD0850,1.0,308.86,308.86
HITM0000378,HORD000121,PRD0625,2.0,1041.53,2083.06
HITM0000379,HORD000121,PRD0195,1.0,337.11,337.11
HITM0000380,HORD000121,PRD0123,1.0,322.81,322.81
HITM0000381,HORD000121,PRD0017,1.0,1860.35,1860.35
HITM0000382,HORD000122,PRD0408,1.0,680.47,680.47
HITM0000383,HORD000122,PRD0752,1.0,1353.89,1353.89
HITM0000384,HORD000122,PRD0010,1.0,15.97,15.97
HITM0000385,HORD000123,PRD0444,3.0,636.31,1908.93
HITM0000386,HORD000124,PRD0590,1.0,268.79,268.79
HITM0000387,HORD000124,PRD0866,1.0,328.46,328.46
HITM0000388,HORD000124,PRD0423,1.0,731.87,731.87
HITM0000389,HORD000124,PRD0469,1.0,1472.12,1472.12
HITM0000390,HORD000125,PRD0831,1.0,1201.57,1201.57
HITM0000391,HORD000125,PRD0812,1.0,1836.96,1836.96
HITM0000392,HORD000125,PRD0044,1.0,3554.03,3554.03
HITM0000393,HORD000126,PRD0891,2.0,1480.65,2961.3
HITM0000394,HORD000126,PRD0434,1.0,2443.59,2443.59
HITM0000395,HORD000126,PRD0339,1.0,427.29,427.29
HITM0000396,HORD000127,PRD0885,1.0,510.35,510.35
HITM0000397,HORD000127,PRD0609,1.0,138.47,138.47
HITM0000398,HORD000127,PRD0740,1.0,194.14,194.14
HITM0000399,HORD000127,PRD0899,1.0,1401.94,1401.94
HITM0000400,HORD000128,PRD0070,1.0,283.3,283.3
HITM0000401,HORD000128,PRD0453,1.0,934.48,934.48
HITM0000402,HORD000129,PRD0702,1.0,768.26,768.26
HITM0000403,HORD000129,PRD0416,1.0,753.43,753.43
HITM0000404,HORD000129,PRD0476,1.0,59.63,59.63
HITM0000405,HORD000129,PRD0764,1.0,3444.81,3444.81
HITM0000406,HORD000130,PRD0880,1.0,263.31,263.31
HITM0000407,HORD000130,PRD0690,1.0,306.64,306.64
HITM0000408,HORD000130,PRD0427,1.0,1807.66,1807.66
HITM0000409,HORD000131,PRD0266,2.0,424.49,848.98
HITM0000410,HORD000131,PRD0670,1.0,85.16,85.16
HITM0000411,HORD000131,PRD0877,1.0,1300.22,1300.22
HITM0000412,HORD000131,PRD0540,1.0,255.66,255.66
HITM0000413,HORD000132,PRD0916,1.0,265.34,265.34
HITM0000414,HORD000132,PRD0147,1.0,94.45,94.45
HITM0000415,HORD000132,PRD0320,2.0,289.98,579.96
HITM0000416,HORD000133,PRD0545,1.0,879.28,879.28
HITM0000417,HORD000133,PRD0356,1.0,302.84,302.84
HITM0000418,HORD000134,PRD0207,2.0,1299.41,2598.82
HITM0000419,HORD000134,PRD0898,1.0,236.36,236.36
HITM0000420,HORD000134,PRD0060,1.0,97.23,97.23
HITM0000421,HORD000134,PRD0894,1.0,1604.45,1604.45
HITM0000422,HORD000134,PRD0113,3.0,605.4,1816.2
HITM0000423,HORD000135,PRD0109,1.0,516.32,516.32
HITM0000424,HORD000135,PRD0881,1.0,1292.47,1292.47
HITM0000425,HORD000135,PRD0738,2.0,306.26,612.52
HITM0000426,HORD000135,PRD0630,1.0,59.46,59.46
HITM0000427,HORD000136,PRD0735,1.0,606.53,606.53
HITM0000428,HORD000136,PRD0105,1.0,275.3,275.3
HITM0000429,HORD000136,PRD0380,1.0,117.36,117.36
HITM0000430,HORD000136,PRD0723,1.0,1236.33,1236.33
HITM0000431,HORD000137,PRD0906,1.0,58.83,58.83
HITM0000432,HORD000137,PRD0631,1.0,2799.14,2799.14
HITM0000433,HORD000137,PRD0977,1.0,352.01,352.01
HITM0000434,HORD000138,PRD0061,2.0,2524.66,5049.32
HITM0000435,HORD000138,PRD0054,1.0,3965.82,3965.82
HITM0000436,HORD000138,PRD0772,1.0,546.46,546.46
HITM0000437,HORD000139,PRD0487,1.0,1262.93,1262.93
HITM0000438,HORD000139,PRD0191,1.0,1045.12,1045.12
HITM0000439,HORD000139,PRD0056,3.0,318.87,956.61
HITM0000440,HORD000140,PRD0733,1.0,894.02,894.02
