customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00014,2015-11-12,Silver,Premium,25-34,Web,Brunswick,10.0,7081.46,True,3056,VIC,Australia,pl,Referral,Active,Mobile,mail.test,5+,Essential only
CUS00015,2014-11-15,Silver,Small Business,18-24,Web,Southbank,5.0,2560.71,True,3006,VIC,Australia,en,Paid Search,Active,Desktop,inbox.example,1,Monthly
CUS00016,2013-12-14,Bronze,Value,45-54,Store,Brunswick,7.0,1380.35,True,3056,VIC,Australia,fr,Organic,Active,Desktop,inbox.example,1,Essential only
CUS00017,2015-07-07,Silver,Small Business,35-44,Web,Carlton,0.0,839.43,True,3053,VIC,Australia,es,Store,Active,Tablet,mail.test,2,Monthly
CUS00018,2015-01-23,Silver,Value,45-54,Mobile,Southbank,3.0,2637.99,True,3006,VIC,Australia,it,Paid Search,Active,Mobile,mail.test,2,Quarterly
CUS00019,2016-01-16,Silver,Mainstream,18-24,Store,Southbank,3.0,2061.28,True,3006,VIC,Australia,ru,Social,Active,Tablet,example.net,1,Quarterly
CUS00020,2014-06-11,Bronze,Premium,25-34,Store,Carlton,15.0,2032.8,True,3053,VIC,Australia,pl,Social,Dormant,Desktop,inbox.example,5+,Monthly
CUS00021,2017-05-25,Bronze,Premium,25-34,Store,Carlton,17.0,6101.17,False,3053,VIC,Australia,en,Social,Active,Tablet,inbox.example,1,Monthly
CUS00022,2017-10-20,Bronze,Premium,45-54,Web,Footscray,18.0,12519.11,True,3011,VIC,Australia,pt,Referral,Active,Tablet,inbox.example,5+,Weekly
CUS00023,2015-07-08,Silver,Value,35-44,Mobile,Hawthorn,13.0,3898.6,True,3122,VIC,Australia,hi,Referral,Active,Mobile,mail.test,1,Monthly
CUS00024,2015-11-15,Platinum,Mainstream,35-44,Mobile,Footscray,14.0,4267.9,True,3011,VIC,Australia,pl,Referral,Active,Desktop,inbox.example,5+,Quarterly
CUS00025,2016-01-10,Gold,Value,55+,Mobile,Carlton,4.0,3997.81,True,3053,VIC,Australia,it,Social,Active,Tablet,example.net,1,Essential only
CUS00026,2016-11-13,Bronze,Value,45-54,Store,Carlton,6.0,1985.01,True,3053,VIC,Australia,ar,Social,Active,Mobile,inbox.example,3-4,Quarterly
CUS00027,2017-12-19,Bronze,Value,55+,Mobile,Brunswick,8.0,2030.15,True,3056,VIC,Australia,zh,Store,Active,Mobile,example.net,3-4,Monthly
CUS00028,2013-03-01,Silver,Small Business,45-54,Web,Carlton,5.0,957.75,True,3053,VIC,Australia,en,Social,Active,Tablet,example.net,1,Quarterly
CUS00029,2016-04-15,Bronze,Small Business,35-44,Mobile,Melbourne,14.0,3789.98,True,3000,VIC,Australia,hi,Social,Active,Desktop,example.net,5+,Essential only
CUS00030,2015-07-22,Bronze,Premium,18-24,Web,Southbank,12.0,5250.13,True,3006,VIC,Australia,pt,Social,Active,Mobile,example.net,1,Weekly
CUS00031,2017-03-10,Bronze,Mainstream,55+,Mobile,Northcote,20.0,16286.08,False,3070,VIC,Australia,de,Social,Active,Mobile,example.net,1,Quarterly
CUS00032,2013-12-14,Bronze,Premium,25-34,Mobile,St Kilda,14.0,5162.62,True,3182,VIC,Australia,ja,Referral,Active,Mobile,mail.test,2,Essential only
CUS00033,2013-08-10,Bronze,Mainstream,25-34,Store,Brunswick,1.0,543.27,True,3056,VIC,Australia,fr,Paid Search,Active,Desktop,example.net,3-4,Weekly
CUS00034,2017-12-21,Silver,Small Business,25-34,Store,Brunswick,11.0,7398.56,True,3056,VIC,Australia,ar,Paid Search,Active,Tablet,inbox.example,3-4,Weekly
CUS00035,2017-04-21,Bronze,Premium,18-24,Mobile,Carlton,2.0,2187.97,True,3053,VIC,Australia,it,Referral,Active,Mobile,inbox.example,3-4,Essential only
CUS00036,2016-07-05,Gold,Small Business,18-24,Store,Hawthorn,17.0,14214.63,True,3122,VIC,Australia,es,Paid Search,Active,Tablet,mail.test,5+,Quarterly
CUS00037,2015-06-07,Bronze,Mainstream,25-34,Web,Footscray,13.0,1614.48,True,3011,VIC,Australia,pt,Social,Dormant,Mobile,example.net,3-4,Weekly
CUS00038,2016-02-09,Silver,Premium,55+,Store,Melbourne,1.0,1063.45,True,3000,VIC,Australia,zh,Paid Search,Active,Desktop,example.net,1,Weekly
CUS00039,2014-07-06,Bronze,Value,25-34,Mobile,Southbank,10.0,1276.95,True,3006,VIC,Australia,zh,Paid Search,Active,Mobile,example.net,2,Weekly
CUS00040,2017-07-08,Silver,Small Business,18-24,Web,Northcote,18.0,13192.46,False,3070,VIC,Australia,fr,Organic,Active,Desktop,inbox.example,5+,Quarterly
CUS00041,2013-11-09,Silver,Mainstream,25-34,Web,St Kilda,5.0,1671.59,True,3182,VIC,Australia,pl,Store,Active,Desktop,inbox.example,1,Quarterly
CUS00042,2017-05-21,Bronze,Small Business,55+,Web,Brunswick,19.0,6541.51,False,3056,VIC,Australia,ru,Organic,Active,Tablet,inbox.example,3-4,Weekly
CUS00043,2017-07-07,Bronze,Mainstream,18-24,Web,Footscray,1.0,890.95,False,3011,VIC,Australia,pl,Store,Active,Tablet,example.net,1,Weekly
CUS00044,2017-08-06,Bronze,Small Business,55+,Mobile,Footscray,13.0,7157.69,True,3011,VIC,Australia,it,Paid Search,Active,Tablet,example.net,3-4,Monthly
CUS00045,2013-01-17,Gold,Premium,18-24,Store,St Kilda,18.0,5140.12,True,3182,VIC,Australia,it,Referral,Active,Tablet,inbox.example,1,Monthly
CUS00046,2016-05-20,Silver,Value,25-34,Web,Hawthorn,13.0,8515.97,False,3122,VIC,Australia,es,Paid Search,Active,Tablet,mail.test,3-4,Monthly
CUS00047,2016-09-24,Silver,Value,18-24,Web,Southbank,14.0,1914.29,False,3006,VIC,Australia,fr,Store,Active,Desktop,mail.test,2,Monthly
CUS00048,2017-01-03,Gold,Small Business,18-24,Mobile,Brunswick,17.0,4493.84,True,3056,VIC,Australia,de,Referral,Active,Mobile,example.net,2,Monthly
CUS00049,2017-01-12,Bronze,Small Business,18-24,Mobile,Richmond,13.0,7729.6,True,3121,VIC,Australia,it,Referral,Active,Tablet,example.net,1,Essential only
CUS00050,2014-09-08,Bronze,Mainstream,18-24,Web,Northcote,13.0,7076.75,True,3070,VIC,Australia,nl,Organic,Active,Desktop,mail.test,2,Monthly
CUS00051,2017-09-03,Bronze,Value,35-44,Store,Docklands,2.0,2645.29,True,3008,VIC,Australia,hi,Paid Search,Dormant,Tablet,inbox.example,2,Monthly
CUS00052,2016-02-12,Gold,Premium,25-34,Mobile,Richmond,19.0,6954.32,True,3121,VIC,Australia,es,Referral,Active,Tablet,mail.test,1,Quarterly
CUS00053,2013-03-19,Silver,Small Business,35-44,Mobile,Docklands,20.0,4135.81,True,3008,VIC,Australia,fr,Organic,Active,Tablet,inbox.example,3-4,Monthly
CUS00054,2016-06-26,Bronze,Premium,55+,Mobile,Southbank,19.0,3119.05,False,3006,VIC,Australia,zh,Social,Active,Tablet,mail.test,2,Monthly
CUS00055,2016-09-20,Platinum,Premium,35-44,Web,Brunswick,5.0,1091.1,True,3056,VIC,Australia,pt,Social,Active,Tablet,example.net,5+,Quarterly
CUS00056,2014-04-10,Bronze,Value,18-24,Mobile,St Kilda,3.0,3022.62,True,3182,VIC,Australia,de,Paid Search,Dormant,Tablet,inbox.example,3-4,Essential only
CUS00057,2014-09-13,Gold,Mainstream,45-54,Web,Southbank,3.0,3164.64,True,3006,VIC,Australia,pt,Social,Active,Mobile,example.net,1,Monthly
CUS00058,2016-02-23,Gold,Mainstream,35-44,Mobile,Southbank,1.0,1246.9,False,3006,VIC,Australia,ru,Store,Review,Desktop,mail.test,5+,Quarterly
CUS00059,2014-04-26,Platinum,Mainstream,35-44,Web,Northcote,7.0,5001.01,True,3070,VIC,Australia,en,Referral,Active,Mobile,mail.test,2,Essential only
CUS00060,2016-01-23,Silver,Mainstream,55+,Store,Carlton,8.0,2430.56,True,3053,VIC,Australia,pt,Organic,Active,Desktop,example.net,3-4,Essential only
CUS00061,2013-04-11,Silver,Small Business,18-24,Mobile,Brunswick,3.0,2842.11,True,3056,VIC,Australia,ar,Store,Dormant,Mobile,inbox.example,1,Weekly
CUS00062,2013-07-11,Gold,Small Business,45-54,Mobile,Brunswick,21.0,1963.07,True,3056,VIC,Australia,pt,Organic,Active,Desktop,mail.test,5+,Weekly
CUS00063,2016-06-09,Gold,Value,18-24,Mobile,Carlton,17.0,14804.94,False,3053,VIC,Australia,ar,Store,Active,Mobile,mail.test,5+,Quarterly
CUS00064,2013-02-17,Silver,Small Business,35-44,Web,Carlton,2.0,1080.95,False,3053,VIC,Australia,it,Social,Active,Mobile,mail.test,1,Essential only
CUS00065,2017-01-18,Silver,Premium,25-34,Web,Richmond,0.0,160.79,False,3121,VIC,Australia,fr,Organic,Active,Desktop,inbox.example,3-4,Weekly
CUS00066,2013-01-05,Bronze,Mainstream,55+,Store,Footscray,5.0,4261.4,True,3011,VIC,Australia,pl,Social,Active,Desktop,mail.test,1,Weekly
CUS00067,2014-01-21,Bronze,Value,25-34,Store,Hawthorn,6.0,5422.58,True,3122,VIC,Australia,fr,Organic,Active,Desktop,mail.test,2,Essential only
CUS00068,2014-03-14,Silver,Mainstream,55+,Store,Northcote,11.0,3467.07,True,3070,VIC,Australia,fr,Social,Active,Tablet,inbox.example,3-4,Quarterly
CUS00069,2013-09-07,Gold,Mainstream,25-34,Store,Carlton,17.0,11559.69,False,3053,VIC,Australia,it,Store,Active,Mobile,mail.test,3-4,Essential only
CUS00070,2013-04-09,Bronze,Premium,55+,Mobile,Richmond,5.0,4107.59,False,3121,VIC,Australia,zh,Referral,Active,Tablet,inbox.example,5+,Monthly
CUS00071,2017-07-09,Bronze,Premium,18-24,Store,Melbourne,18.0,8567.57,True,3000,VIC,Australia,ru,Store,Active,Desktop,mail.test,1,Weekly
CUS00072,2015-08-24,Bronze,Small Business,25-34,Web,St Kilda,17.0,11077.24,True,3182,VIC,Australia,de,Organic,Dormant,Mobile,example.net,2,Quarterly
CUS00073,2017-07-06,Silver,Premium,35-44,Web,Carlton,17.0,4075.02,False,3053,VIC,Australia,nl,Organic,Active,Desktop,example.net,3-4,Quarterly
CUS00074,2017-10-09,Silver,Premium,25-34,Store,Carlton,0.0,848.04,True,3053,VIC,Australia,en,Referral,Active,Tablet,example.net,5+,Quarterly
CUS00075,2015-09-06,Silver,Mainstream,35-44,Web,Hawthorn,17.0,7062.08,True,3122,VIC,Australia,zh,Social,Active,Mobile,mail.test,2,Quarterly
CUS00076,2013-09-20,Bronze,Value,55+,Store,Hawthorn,21.0,17178.38,False,3122,VIC,Australia,zh,Social,Active,Desktop,example.net,2,Essential only
CUS00077,2015-02-13,Bronze,Premium,18-24,Store,Northcote,7.0,6480.95,True,3070,VIC,Australia,es,Organic,Active,Mobile,inbox.example,1,Monthly
CUS00078,2015-08-16,Bronze,Premium,25-34,Store,Northcote,16.0,6681.82,True,3070,VIC,Australia,zh,Store,Active,Mobile,inbox.example,5+,Monthly
CUS00079,2017-09-15,Bronze,Value,25-34,Mobile,Footscray,21.0,10042.66,False,3011,VIC,Australia,ja,Organic,Active,Tablet,mail.test,1,Quarterly
CUS00080,2015-04-02,Bronze,Small Business,25-34,Store,Brunswick,3.0,909.38,False,3056,VIC,Australia,en,Social,Active,Tablet,mail.test,5+,Essential only
CUS00081,2015-08-21,Bronze,Mainstream,18-24,Store,Northcote,14.0,6634.66,True,3070,VIC,Australia,pl,Store,Active,Desktop,mail.test,3-4,Monthly
CUS00082,2016-01-08,Silver,Small Business,35-44,Store,Richmond,16.0,4702.42,True,3121,VIC,Australia,fr,Referral,Active,Tablet,example.net,3-4,Monthly
CUS00083,2016-12-08,Silver,Small Business,55+,Store,Carlton,16.0,13174.05,True,3053,VIC,Australia,ja,Store,Active,Desktop,example.net,1,Monthly
CUS00084,2014-09-17,Bronze,Premium,18-24,Web,Melbourne,7.0,2303.73,True,3000,VIC,Australia,pl,Store,Active,Tablet,example.net,5+,Quarterly
CUS00085,2016-08-20,Silver,Premium,45-54,Store,Northcote,11.0,3402.18,True,3070,VIC,Australia,en,Referral,Active,Tablet,mail.test,2,Quarterly
CUS00086,2015-04-27,Bronze,Premium,35-44,Store,Carlton,8.0,7052.12,True,3053,VIC,Australia,zh,Social,Dormant,Mobile,example.net,1,Monthly
CUS00087,2013-08-20,Silver,Value,45-54,Store,Southbank,5.0,2179.37,True,3006,VIC,Australia,pt,Store,Active,Mobile,example.net,5+,Weekly
CUS00088,2014-11-19,Gold,Mainstream,25-34,Mobile,Richmond,2.0,452.15,False,3121,VIC,Australia,ru,Social,Active,Mobile,inbox.example,2,Quarterly
CUS00089,2014-12-11,Bronze,Small Business,55+,Mobile,Footscray,5.0,1751.81,False,3011,VIC,Australia,hi,Referral,Active,Tablet,mail.test,1,Weekly
CUS00090,2014-09-15,Silver,Small Business,25-34,Store,Hawthorn,6.0,4866.69,True,3122,VIC,Australia,pt,Referral,Active,Desktop,example.net,3-4,Quarterly
CUS00091,2016-08-23,Bronze,Mainstream,45-54,Mobile,Hawthorn,0.0,860.75,True,3122,VIC,Australia,nl,Organic,Active,Desktop,example.net,2,Weekly
CUS00092,2017-12-13,Silver,Mainstream,25-34,Mobile,Richmond,12.0,11474.0,False,3121,VIC,Australia,es,Organic,Active,Desktop,mail.test,1,Monthly
CUS00093,2013-04-15,Bronze,Premium,25-34,Mobile,Northcote,13.0,10181.14,True,3070,VIC,Australia,es,Social,Active,Mobile,mail.test,3-4,Weekly
CUS00094,2013-10-05,Platinum,Premium,45-54,Store,Footscray,2.0,2534.18,False,3011,VIC,Australia,nl,Store,Active,Mobile,example.net,3-4,Quarterly
CUS00095,2015-09-10,Bronze,Value,45-54,Web,Footscray,2.0,394.1,True,3011,VIC,Australia,pt,Social,Active,Desktop,example.net,1,Quarterly
CUS00096,2014-03-21,Platinum,Premium,35-44,Mobile,Melbourne,13.0,10463.58,True,3000,VIC,Australia,en,Store,Active,Tablet,inbox.example,3-4,Quarterly
CUS00097,2015-09-27,Bronze,Premium,45-54,Web,Richmond,10.0,3017.54,False,3121,VIC,Australia,es,Organic,Dormant,Mobile,inbox.example,5+,Quarterly
CUS00098,2017-07-22,Silver,Value,18-24,Web,Richmond,20.0,10152.88,True,3121,VIC,Australia,en,Social,Review,Mobile,inbox.example,1,Quarterly
CUS00099,2014-11-06,Gold,Small Business,55+,Web,Brunswick,10.0,5357.39,False,3056,VIC,Australia,nl,Paid Search,Active,Desktop,mail.test,5+,Essential only
CUS00100,2014-03-01,Bronze,Premium,18-24,Mobile,Richmond,5.0,4899.54,True,3121,VIC,Australia,pt,Referral,Active,Tablet,mail.test,3-4,Weekly
CUS00101,2014-03-12,Gold,Premium,55+,Store,Footscray,2.0,850.41,True,3011,VIC,Australia,zh,Organic,Active,Desktop,example.net,3-4,Quarterly
CUS00102,2015-12-08,Gold,Small Business,35-44,Web,Carlton,7.0,3979.35,False,3053,VIC,Australia,ru,Store,Active,Tablet,example.net,3-4,Quarterly
CUS00103,2013-07-13,Gold,Mainstream,25-34,Mobile,Southbank,8.0,5191.6,True,3006,VIC,Australia,en,Organic,Active,Tablet,inbox.example,2,Essential only
CUS00104,2016-01-27,Platinum,Mainstream,18-24,Mobile,Docklands,1.0,461.13,True,3008,VIC,Australia,zh,Organic,Active,Mobile,mail.test,1,Essential only
CUS00105,2015-09-18,Silver,Mainstream,35-44,Mobile,Richmond,17.0,12793.47,True,3121,VIC,Australia,hi,Organic,Active,Mobile,mail.test,5+,Essential only
CUS00106,2015-05-27,Silver,Mainstream,25-34,Store,St Kilda,4.0,1844.67,True,3182,VIC,Australia,ru,Paid Search,Active,Desktop,inbox.example,3-4,Weekly
CUS00107,2014-04-14,Bronze,Small Business,55+,Store,Docklands,21.0,11333.93,True,3008,VIC,Australia,ja,Social,Active,Mobile,example.net,3-4,Quarterly
CUS00108,2016-09-19,Platinum,Premium,18-24,Web,St Kilda,14.0,12251.4,False,3182,VIC,Australia,pt,Referral,Active,Tablet,mail.test,5+,Weekly
CUS00109,2014-07-19,Bronze,Premium,45-54,Store,Southbank,12.0,5099.4,False,3006,VIC,Australia,ru,Organic,Active,Desktop,inbox.example,5+,Essential only
CUS00110,2017-10-15,Silver,Mainstream,18-24,Mobile,Carlton,0.0,604.63,False,3053,VIC,Australia,it,Referral,Active,Mobile,example.net,2,Essential only
CUS00111,2014-06-16,Silver,Premium,18-24,Mobile,Northcote,17.0,5325.71,False,3070,VIC,Australia,it,Store,Active,Desktop,inbox.example,1,Essential only
CUS00112,2014-02-19,Silver,Small Business,18-24,Mobile,Footscray,2.0,1964.72,True,3011,VIC,Australia,ja,Social,Active,Mobile,example.net,2,Monthly
CUS00113,2015-07-19,Gold,Premium,45-54,Store,Brunswick,13.0,11410.64,True,3056,VIC,Australia,ru,Store,Active,Mobile,mail.test,2,Monthly
CUS00114,2015-11-27,Silver,Small Business,35-44,Mobile,Brunswick,4.0,2042.05,True,3056,VIC,Australia,pl,Store,Active,Mobile,inbox.example,2,Essential only
CUS00115,2016-02-24,Bronze,Mainstream,35-44,Web,Carlton,13.0,5003.79,True,3053,VIC,Australia,hi,Social,Dormant,Tablet,example.net,1,Quarterly
CUS00116,2015-10-23,Bronze,Premium,25-34,Store,Melbourne,16.0,8863.53,True,3000,VIC,Australia,ru,Paid Search,Active,Mobile,mail.test,2,Quarterly
CUS00117,2013-04-08,Bronze,Value,18-24,Mobile,Northcote,10.0,3544.7,True,3070,VIC,Australia,ru,Store,Active,Desktop,inbox.example,3-4,Monthly
CUS00118,2017-10-06,Gold,Mainstream,25-34,Mobile,Brunswick,5.0,1722.47,True,3056,VIC,Australia,pl,Store,Active,Mobile,mail.test,1,Quarterly
CUS00119,2013-01-23,Gold,Premium,18-24,Mobile,Hawthorn,0.0,840.06,True,3122,VIC,Australia,es,Store,Active,Tablet,mail.test,5+,Weekly
CUS00120,2014-07-18,Bronze,Mainstream,25-34,Web,Hawthorn,3.0,1042.25,True,3122,VIC,Australia,nl,Store,Active,Desktop,example.net,5+,Monthly
CUS00121,2017-11-01,Gold,Mainstream,55+,Store,Brunswick,20.0,8409.58,True,3056,VIC,Australia,en,Social,Active,Desktop,example.net,2,Essential only
CUS00122,2017-04-05,Silver,Small Business,45-54,Store,Hawthorn,4.0,2746.97,False,3122,VIC,Australia,ja,Paid Search,Active,Desktop,mail.test,3-4,Quarterly
CUS00123,2016-10-13,Gold,Small Business,35-44,Mobile,Hawthorn,9.0,6771.48,True,3122,VIC,Australia,pl,Referral,Active,Desktop,example.net,2,Essential only
CUS00124,2017-03-02,Platinum,Mainstream,25-34,Store,Northcote,15.0,7563.6,False,3070,VIC,Australia,pt,Referral,Active,Mobile,mail.test,3-4,Monthly
CUS00125,2017-04-17,Silver,Mainstream,45-54,Web,Footscray,20.0,11259.44,True,3011,VIC,Australia,ru,Organic,Active,Desktop,inbox.example,2,Essential only
CUS00126,2017-10-18,Gold,Mainstream,55+,Store,Southbank,1.0,1316.7,True,3006,VIC,Australia,nl,Paid Search,Active,Desktop,inbox.example,1,Quarterly
CUS00127,2014-06-08,Bronze,Mainstream,35-44,Mobile,Brunswick,1.0,932.47,True,3056,VIC,Australia,ja,Store,Active,Mobile,example.net,3-4,Quarterly
CUS00128,2017-10-19,Bronze,Small Business,18-24,Mobile,Southbank,13.0,9483.94,True,3006,VIC,Australia,zh,Organic,Active,Tablet,example.net,2,Essential only
CUS00129,2017-07-20,Bronze,Small Business,25-34,Mobile,Brunswick,18.0,15399.12,True,3056,VIC,Australia,fr,Organic,Active,Tablet,mail.test,2,Monthly
CUS00130,2015-01-07,Gold,Value,35-44,Mobile,Footscray,6.0,2785.03,True,3011,VIC,Australia,zh,Organic,Active,Tablet,inbox.example,3-4,Monthly
CUS00131,2017-08-05,Gold,Premium,25-34,Web,Southbank,21.0,13238.53,True,3006,VIC,Australia,zh,Referral,Active,Mobile,mail.test,5+,Weekly
CUS00132,2016-07-20,Bronze,Mainstream,35-44,Web,Hawthorn,0.0,709.06,False,3122,VIC,Australia,nl,Referral,Active,Desktop,example.net,1,Weekly
CUS00133,2013-07-12,Bronze,Premium,45-54,Web,Melbourne,3.0,809.84,True,3000,VIC,Australia,ru,Referral,Active,Mobile,mail.test,2,Monthly
CUS00134,2013-12-11,Bronze,Small Business,55+,Mobile,Richmond,21.0,4055.17,True,3121,VIC,Australia,pt,Social,Active,Desktop,example.net,5+,Quarterly
CUS00135,2014-05-10,Silver,Mainstream,45-54,Store,Carlton,12.0,3318.49,False,3053,VIC,Australia,de,Social,Active,Mobile,example.net,5+,Weekly
CUS00136,2014-05-24,Bronze,Mainstream,45-54,Web,Southbank,13.0,2054.76,True,3006,VIC,Australia,hi,Paid Search,Active,Mobile,mail.test,5+,Weekly
CUS00137,2015-06-03,Silver,Value,18-24,Store,Melbourne,15.0,5250.07,False,3000,VIC,Australia,fr,Social,Active,Tablet,example.net,1,Quarterly
CUS00138,2015-12-02,Gold,Premium,18-24,Web,St Kilda,7.0,2756.23,True,3182,VIC,Australia,hi,Referral,Dormant,Mobile,example.net,2,Weekly
CUS00139,2015-04-21,Bronze,Mainstream,35-44,Store,Carlton,19.0,17868.06,True,3053,VIC,Australia,pt,Social,Dormant,Tablet,example.net,2,Essential only
CUS00140,2013-08-19,Silver,Value,18-24,Store,Southbank,0.0,757.86,True,3006,VIC,Australia,pl,Social,Active,Desktop,example.net,2,Essential only
CUS00141,2014-01-02,Silver,Mainstream,35-44,Mobile,Docklands,13.0,3767.42,True,3008,VIC,Australia,nl,Referral,Dormant,Desktop,example.net,1,Essential only
CUS00142,2016-03-23,Platinum,Value,18-24,Mobile,Richmond,12.0,9695.77,False,3121,VIC,Australia,fr,Referral,Active,Desktop,inbox.example,5+,Monthly
CUS00143,2017-05-11,Bronze,Value,45-54,Web,Southbank,2.0,1328.05,False,3006,VIC,Australia,pl,Referral,Active,Tablet,example.net,3-4,Quarterly
CUS00144,2013-11-06,Silver,Premium,55+,Store,Brunswick,7.0,7112.3,True,3056,VIC,Australia,pt,Social,Active,Mobile,mail.test,1,Weekly
CUS00145,2014-12-14,Bronze,Small Business,55+,Store,Northcote,14.0,11245.42,False,3070,VIC,Australia,pt,Social,Active,Desktop,mail.test,2,Weekly
CUS00146,2015-09-07,Gold,Value,25-34,Mobile,Southbank,0.0,300.91,True,3006,VIC,Australia,zh,Store,Active,Tablet,inbox.example,1,Essential only
CUS00147,2015-04-06,Gold,Mainstream,18-24,Web,Richmond,4.0,4368.62,True,3121,VIC,Australia,it,Social,Active,Desktop,mail.test,1,Essential only
CUS00148,2016-03-18,Gold,Premium,25-34,Web,Carlton,10.0,2635.27,True,3053,VIC,Australia,ru,Organic,Active,Mobile,mail.test,1,Essential only
CUS00149,2013-12-24,Bronze,Mainstream,35-44,Store,Docklands,15.0,13828.17,True,3008,VIC,Australia,es,Social,Active,Mobile,mail.test,2,Essential only
CUS00150,2016-10-04,Silver,Mainstream,25-34,Web,St Kilda,16.0,14611.56,True,3182,VIC,Australia,en,Paid Search,Active,Tablet,inbox.example,2,Weekly
CUS00151,2015-05-09,Gold,Small Business,35-44,Web,Richmond,6.0,2049.63,False,3121,VIC,Australia,pl,Paid Search,Active,Desktop,example.net,5+,Weekly
CUS00152,2017-02-02,Silver,Value,45-54,Web,Richmond,21.0,11899.54,False,3121,VIC,Australia,fr,Referral,Active,Desktop,inbox.example,2,Weekly
CUS00153,2014-06-17,Bronze,Small Business,25-34,Mobile,Footscray,3.0,425.16,True,3011,VIC,Australia,ar,Referral,Active,Mobile,example.net,2,Essential only
CUS00154,2014-02-09,Bronze,Small Business,35-44,Store,Richmond,21.0,10564.65,True,3121,VIC,Australia,pl,Social,Active,Desktop,example.net,5+,Essential only
CUS00155,2016-05-25,Silver,Mainstream,25-34,Mobile,Brunswick,7.0,1231.25,True,3056,VIC,Australia,en,Paid Search,Active,Mobile,example.net,2,Weekly
CUS00156,2015-12-11,Gold,Premium,55+,Store,Southbank,2.0,1224.65,False,3006,VIC,Australia,it,Store,Active,Tablet,mail.test,5+,Essential only
CUS00157,2014-11-15,Silver,Value,45-54,Store,Brunswick,10.0,3826.28,False,3056,VIC,Australia,ru,Store,Active,Desktop,example.net,3-4,Quarterly
CUS00158,2013-03-19,Silver,Small Business,35-44,Web,Southbank,19.0,1756.74,False,3006,VIC,Australia,ru,Paid Search,Active,Mobile,inbox.example,2,Essential only
CUS00159,2013-11-24,Bronze,Mainstream,18-24,Mobile,Carlton,3.0,2866.06,True,3053,VIC,Australia,zh,Organic,Active,Desktop,inbox.example,3-4,Essential only
CUS00160,2015-07-23,Silver,Value,45-54,Web,Northcote,8.0,747.99,True,3070,VIC,Australia,zh,Referral,Active,Desktop,example.net,2,Essential only
CUS00161,2017-10-24,Bronze,Mainstream,35-44,Web,Footscray,10.0,9505.14,True,3011,VIC,Australia,pl,Paid Search,Active,Mobile,inbox.example,1,Quarterly
CUS00162,2017-05-05,Gold,Mainstream,45-54,Store,Richmond,2.0,1458.05,True,3121,VIC,Australia,pl,Organic,Active,Mobile,example.net,1,Monthly
