mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-11,orders,delivery_charges,both,$.orderHeaders[*].deliveryCharges,/OperationsExport/Orders/Order/Header/Delivery_Charges,Keep JSON numeric value or remove XML currency label and thousands separators; convert to number and apply the published monetary tolerance.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-12,orders,coupon_code,both,$.orderHeaders[*].couponCode,/OperationsExport/Orders/Order/Header/Coupon_Code,Trim and standardise the valid code; use literal 'NaN' when the prescribed string result is absent.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-13,orders,coupon_discount,both,$.orderHeaders[*].couponDiscount,/OperationsExport/Orders/Order/Header/Coupon_Discount,Keep JSON numeric percentage points or remove the XML percent sign and convert to numeric percentage points.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-14,orders,tax_amount,derived,$.orderHeaders[*].orderPrice | $.orderHeaders[*].taxAmount,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price | /OperationsExport/Orders/Order/Header/Tax_Amount,Calculate included GST as order_price / 11 before coupon discount; round to 2 decimals; compare with supplied JSON/XML tax amount.,Calculate from canonical inputs using the published arithmetic order; compare with supplied value(s); record any mismatch instead of overwriting it.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-15,orders,order_total,derived,$.orderHeaders[*].orderPrice | $.orderHeaders[*].couponDiscount | $.orderHeaders[*].deliveryCharges | $.orderHeaders[*].orderTotal,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price | /OperationsExport/Orders/Order/Header/Coupon_Discount | /OperationsExport/Orders/Order/Header/Delivery_Charges | /OperationsExport/Orders/Order/Header/Order_Total,"Apply coupon_discount to order_price, add delivery_charges, then round to 2 decimals; do not add tax_amount again; compare with supplied values.",Calculate from canonical inputs using the published arithmetic order; compare with supplied value(s); record any mismatch instead of overwriting it.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-16,orders,season,both,$.orderHeaders[*].season,/OperationsExport/Orders/Order/Header/Season,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-17,orders,expedited_delivery,both,$.orderHeaders[*].expeditedDelivery,/OperationsExport/Orders/Order/Header/Expedited_Delivery,Keep native JSON boolean or map XML Y/N to True/False.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-18,orders,customer_lat,both,$.orderHeaders[*].customerLat,/OperationsExport/Orders/Order/Header/Customer_Lat,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-19,orders,customer_long,both,$.orderHeaders[*].customerLong,/OperationsExport/Orders/Order/Header/Customer_Long,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-20,orders,device_type,both,$.orderHeaders[*].deviceType,/OperationsExport/Orders/Order/Header/Device_Type,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-21,orders,referral_source,both,$.orderHeaders[*].referralSource,/OperationsExport/Orders/Order/Header/Referral_Source,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-22,orders,customer_note_clean,derived,$.orderHeaders[*].customerNote,/OperationsExport/Orders/Order/Header/Customer_Note,Apply the published narrative-cleaning order after structured parsing; return literal 'NaN' when no readable text remains.,Reconcile the raw parent record by primary key first; derive once from the canonical raw value; record any different non-missing overlapping raw values as a conflict.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-23,orders,promo_code,derived,$.orderHeaders[*].customerNote,/OperationsExport/Orders/Order/Header/Customer_Note,Extract a boundary-valid B1SAVE- to B5SAVE- code with exactly two digits from raw customer note before cleaning; uppercase; otherwise literal 'NaN'.,Reconcile the raw parent record by primary key first; derive once from the canonical raw value; record any different non-missing overlapping raw values as a conflict.,Sections 1.7-1.8 and 2.1 (orders)
MAP-order_items-01,order_items,order_item_id,XML,,/OperationsExport/Orders/Order/Shopping_Cart/Item/Order_Item_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (order_items)
MAP-order_items-02,order_items,order_id,XML,,/OperationsExport/Orders/Order/Shopping_Cart/Item/Order_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (order_items)
MAP-order_items-03,order_items,product_id,XML,,/OperationsExport/Orders/Order/Shopping_Cart/Item/Product_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (order_items)
MAP-order_items-04,order_items,quantity,XML,,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (order_items)
MAP-order_items-05,order_items,unit_price,XML,,/OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,Keep JSON numeric value or remove XML currency label and thousands separators; convert to number and apply the published monetary tolerance.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (order_items)
MAP-order_items-06,order_items,line_revenue,derived,,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price | /OperationsExport/Orders/Order/Shopping_Cart/Item/Line_Revenue,Calculate quantity * unit_price and round to 2 decimals; compare with the supplied XML line revenue.,Calculate from canonical inputs using the published arithmetic order; compare with supplied value(s); record any mismatch instead of overwriting it.,Sections 1.2.1 and 2.1 (order_items)
MAP-customers-01,customers,customer_id,XML,,/OperationsExport/Customers/Customer/Customer_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-02,customers,signup_date,XML,,/OperationsExport/Customers/Customer/Signup_Date,Parse the source-specific date format and output YYYY-MM-DD.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-03,customers,loyalty_tier,XML,,/OperationsExport/Customers/Customer/Loyalty_Tier,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-04,customers,customer_segment,XML,,/OperationsExport/Customers/Customer/Customer_Segment,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-05,customers,age_band,XML,,/OperationsExport/Customers/Customer/Age_Band,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-06,customers,preferred_channel,XML,,/OperationsExport/Customers/Customer/Preferred_Channel,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-07,customers,home_suburb,XML,,/OperationsExport/Customers/Customer/Home_Suburb,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-08,customers,prior_12m_orders,XML,,/OperationsExport/Customers/Customer/Prior_12M_Orders,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-09,customers,lifetime_value_before_period,XML,,/OperationsExport/Customers/Customer/Lifetime_Value_Before_Period,Keep JSON numeric value or remove XML currency label and thousands separators; convert to number and apply the published monetary tolerance.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-10,customers,marketing_consent,XML,,/OperationsExport/Customers/Customer/Marketing_Consent,Keep native JSON boolean or map XML Y/N to True/False.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-11,customers,home_postcode,XML,,/OperationsExport/Customers/Customer/Home_Postcode,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-12,customers,home_state,XML,,/OperationsExport/Customers/Customer/Home_State,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-13,customers,home_country,XML,,/OperationsExport/Customers/Customer/Home_Country,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-14,customers,preferred_language,XML,,/OperationsExport/Customers/Customer/Preferred_Language,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-15,customers,acquisition_source,XML,,/OperationsExport/Customers/Customer/Acquisition_Source,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-16,customers,account_status,XML,,/OperationsExport/Customers/Customer/Account_Status,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-17,customers,preferred_device,XML,,/OperationsExport/Customers/Customer/Preferred_Device,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-18,customers,email_domain,XML,,/OperationsExport/Customers/Customer/Email_Domain,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-19,customers,household_size_band,XML,,/OperationsExport/Customers/Customer/Household_Size_Band,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-customers-20,customers,contact_frequency_preference,XML,,/OperationsExport/Customers/Customer/Contact_Frequency_Preference,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2 and 2.1 (customers)
MAP-deliveries-01,deliveries,delivery_id,XML,,/OperationsExport/Orders/Order/Delivery/Delivery_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-02,deliveries,order_id,XML,,/OperationsExport/Orders/Order/Delivery/Order_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-03,deliveries,dispatch_date,XML,,/OperationsExport/Orders/Order/Delivery/Dispatch_Date,Parse the source-specific date format and output YYYY-MM-DD.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-04,deliveries,promised_date,XML,,/OperationsExport/Orders/Order/Delivery/Promised_Date,Parse the source-specific date format and output YYYY-MM-DD.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-05,deliveries,delivered_date,XML,,/OperationsExport/Orders/Order/Delivery/Delivered_Date,Parse the source-specific date format and output YYYY-MM-DD.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-06,deliveries,carrier,XML,,/OperationsExport/Orders/Order/Delivery/Carrier,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-07,deliveries,service_level,XML,,/OperationsExport/Orders/Order/Delivery/Service_Level,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-08,deliveries,delivery_status,XML,,/OperationsExport/Orders/Order/Delivery/Delivery_Status,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-09,deliveries,delay_days,XML,,/OperationsExport/Orders/Order/Delivery/Delay_Days,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-10,deliveries,on_time_in_full,XML,,/OperationsExport/Orders/Order/Delivery/On_Time_In_Full,Keep native JSON boolean or map XML Y/N to True/False.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-11,deliveries,fulfilment_hours,XML,,/OperationsExport/Orders/Order/Delivery/Fulfilment_Hours,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-12,deliveries,delivery_cost,XML,,/OperationsExport/Orders/Order/Delivery/Delivery_Cost,Keep JSON numeric value or remove XML currency label and thousands separators; convert to number and apply the published monetary tolerance.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-13,deliveries,delay_reason,XML,,/OperationsExport/Orders/Order/Delivery/Delay_Reason,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-14,deliveries,promised_days,XML,,/OperationsExport/Orders/Order/Delivery/Promised_Days,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-15,deliveries,tracking_event_count,XML,,/OperationsExport/Orders/Order/Delivery/Tracking_Event_Count,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-16,deliveries,delivery_window,XML,,/OperationsExport/Orders/Order/Delivery/Delivery_Window,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-17,deliveries,shipping_distance_km,XML,,/OperationsExport/Orders/Order/Delivery/Shipping_Distance_Km,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-18,deliveries,signature_required,XML,,/OperationsExport/Orders/Order/Delivery/Signature_Required,Keep native JSON boolean or map XML Y/N to True/False.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-19,deliveries,estimated_carbon_kg,XML,,/OperationsExport/Orders/Order/Delivery/Estimated_Carbon_Kg,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-deliveries-20,deliveries,delivery_note_clean,derived,,/OperationsExport/Orders/Order/Delivery/Delivery_Note_Clean,Apply the published narrative-cleaning order to the XML delivery note; return literal 'NaN' when no readable text remains.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.2.1 and 2.1 (deliveries)
MAP-products-01,products,product_id,JSON,$.productCatalog[*].productID,,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-02,products,product_name,JSON,$.productCatalog[*].productName,,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-03,products,category,JSON,$.productCatalog[*].category,,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-04,products,brand,JSON,$.productCatalog[*].brand,,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-05,products,unit_price,JSON,$.productCatalog[*].unitPrice,,Keep JSON numeric value or remove XML currency label and thousands separators; convert to number and apply the published monetary tolerance.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-06,products,unit_cost,JSON,$.productCatalog[*].unitCost,,Keep JSON numeric value or remove XML currency label and thousands separators; convert to number and apply the published monetary tolerance.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-07,products,launch_year,JSON,$.productCatalog[*].launchYear,,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-08,products,warranty_months,JSON,$.productCatalog[*].warrantyMonths,,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-09,products,weight_kg,JSON,$.productCatalog[*].weightKg,,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-10,products,product_sku,JSON,$.productCatalog[*].productSku,,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-11,products,subcategory,JSON,$.productCatalog[*].subcategory,,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-12,products,model_family,JSON,$.productCatalog[*].modelFamily,,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-13,products,colour,JSON,$.productCatalog[*].colour,,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-14,products,supplier_id,JSON,$.productCatalog[*].supplierID,,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-15,products,supplier_country,JSON,$.productCatalog[*].supplierCountry,,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-16,products,launch_date,JSON,$.productCatalog[*].launchDate,,Parse the source-specific date format and output YYYY-MM-DD.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-17,products,tax_category,JSON,$.productCatalog[*].taxCategory,,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
